repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
laforge49/JASocket,3,FAIL,,,25.7,3.3,9.5,2,25.4,3.2,9.4,2,25.7,3.3,9.5,2,25.4,3.1,9.4,2,27.4,3.2,10.1,2,25.3,3.7,9.5,259,TO,,28800.0,2,TO,,28800.0,0,TO,,28800.0,0
vidstige/jadb,16.6,11.9,0.7,15,70,4.2,4.5,29,71.2,4.1,4.5,29,71.2,4.1,4.5,15,70.2,4.1,4.5,15,74.8,4.1,4.7,15,70.6,4.1,4.5,30,83.8,4.1,5.3,30,FAIL,,,,FAIL,,,0
Bernardo-MG/java-patterns,13.6,18.2,1.3,3,84,6.3,6.6,6,82.5,6.1,6.5,4,83,6.5,6.6,3,83.6,6.4,6.6,5,84.8,6.2,6.7,5,79.6,6.5,6.3,193,145.7,6,11.1,12,TO,,6352.9,0,FAIL,,,
brutusin/json-provider,31,21.1,0.7,8,68.7,4.9,2.4,14,70.7,4.6,2.4,14,69.2,4.1,2.4,8,64.7,4,2.2,10,74.7,4.1,2.5,6,65.4,4.1,2.2,49,500.4,3.7,16.3,25,FAIL,,,,TO,,2787.1,0
bingoohuang/logback-more-appenders,19.4,25.1,1.3,0,92.2,7.3,5.1,22,74.5,5.2,4.1,29,85.9,6.9,4.8,10,68.6,5.3,3.8,12,74.7,5.5,4.1,9,76.4,8.3,4.4,277,1351.9,8.4,70.2,105,FAIL,,,,TO,,4453.6,0
jasminb/jsonapi-converter,3.4,7.7,2.2,0,164.2,8.3,50.1,3,164.7,8.7,50.4,2,171.5,9.1,52.5,3,173.2,8.4,52.8,3,213.2,10.1,64.9,2,161.8,9.5,49.8,361,2197.6,7.9,641.2,4,FAIL,,,,TO,,25411.8,0
jbarrez/activiti-neo4j,23.8,FAIL,,,335,28.7,15.3,4,339.2,29.3,15.5,4,337.6,28.5,15.4,4,326.2,28.4,14.9,4,356.8,28.6,16.2,3,331.4,33.2,15.3,750,13049,36.4,550.3,9,TO,,3630.3,0,TO,,3630.3,0
taksan/skype-java-api,17.7,27.7,1.6,0,26,27,3,3,26.2,0.9,1.5,3,26,0.8,1.5,3,26,0.8,1.5,3,26,0.8,1.5,3,25.8,0.6,1.5,8,26.8,0.5,1.5,6,66.4,1.1,3.8,4,FAIL,,,
elisarver/selophane,31.8,37.8,1.2,6,3774.2,320.6,128.8,45,3944.8,332,134.5,45,4010.4,344.7,137,15,4014.7,324.9,136.5,15,4031.3,332.1,137.2,14,3767.7,463.6,133.1,0,FAIL,,,0,FAIL,,,,TO,,2717.0,0
proofpoint/cloud-management,36.7,25.1,0.7,2,1984.1,131.2,57.6,1,1982.4,125.5,57.4,12,1993.3,127.5,57.8,3,1905.8,128.1,55.4,0,FAIL,,,0,2416.6,140.9,69.7,0,FAIL,,,0,FAIL,,,,TO,,2354.2,0
basdijkstra/tau-rest-assured,51.9,21.1,0.4,0,2999.9,219.1,62,0,2970.7,224.9,61.5,0,3067.2,223.7,63.4,0,3089.4,224.3,63.8,0,TO,,1664.7,0,3145.7,228.3,65,0,FAIL,,,0,FAIL,,,,TO,,1664.7,0
liuziyuan/retrofit-spring-boot-starter,82,51.5,0.6,0,4881.3,171.7,61.7,0,4982.2,174.3,62.9,0,5502.6,158.9,69.1,0,5358,162.3,67.4,0,5538.6,162.4,69.6,0,5230.4,183.1,66.1,0,FAIL,,,0,FAIL,,,,TO,,1053.7,0
ChannelApe/shopify-sdk,34.5,50.5,1.5,0,FAIL,,,0,1237.1,126.4,39.5,0,978.1,106.8,31.4,0,1164.3,113.5,37,0,FAIL,,,0,724.2,65.9,22.9,787,FAIL,,,44,FAIL,,,,TO,,2504.3,0
googlegenomics/dataflow-java,51.9,59.5,1.1,8,5911.2,431.2,122.1,276,5501.5,484.1,115.2,254,6082.9,439.3,125.6,31,6425.3,428.2,132,31,FAIL,,,0,7521.8,623.3,156.8,553,FAIL,,,139,FAIL,,,,TO,,1664.7,0
zeroturnaround/zt-process-killer,63.5,72.7,1.1,0,80,1.6,1.3,0,81,1.6,1.3,0,80.8,1.6,1.3,0,80.7,1.6,1.3,0,81.3,1.6,1.3,0,80.5,2.8,1.3,0,85.4,1.5,1.4,0,FAIL,,,,FAIL,,,
brutusin/commons,10.8,FAIL,,,17.9,0.4,1.7,1,16.9,0.4,1.6,1,17.6,0.4,1.7,1,15.9,0.4,1.5,1,16.2,0.4,1.5,1,17.8,0.4,1.7,3,16.9,0.3,1.6,1,16.9,0.5,1.6,1,FAIL,,,
ModeShape/modeshape-examples,13.5,52.7,3.9,0,188.7,0.5,14,0,193.6,0.5,14.4,0,196.7,0.5,14.6,0,195.9,0.6,14.5,0,189.2,0.6,14.1,0,195.2,0.6,14.5,3,643.2,0.5,47.7,0,FAIL,,,,FAIL,,,
kabutz/striped-executor-service,16,23.5,1.5,0,30.7,2.3,2.1,0,31.5,2.3,2.1,0,30.9,2.3,2.1,0,31.6,2.3,2.1,0,36.9,2.3,2.4,0,29.3,2.5,2,0,203.1,2.1,12.8,0,FAIL,,,,FAIL,,,
maestrano/maestrano-java,2.7,10.8,4,0,121,8.6,47.7,0,124.2,8.7,48.9,0,155.8,8.6,60.4,0,122.4,8.6,48.2,0,125.9,8.6,49.4,0,122.9,8.7,48.4,0,245.4,8.6,93.4,0,FAIL,,,,FAIL,,,
davidmoten/rxjava-file,10.4,17.4,1.7,3,44.7,3.2,4.6,38,43.9,3,4.5,38,44.4,3.1,4.6,2,32.4,3.2,3.4,1,46.6,3,4.8,2,45.2,3.1,4.6,57,FAIL,,,,FAIL,,,,TO,,8307.7,0
purecloudlabs/elasticsearch-lambda,6.6,16.3,2.5,5,49.8,2.7,7.9,77,50.4,2.8,8,77,49.5,2.4,7.8,15,49.1,2.3,7.8,15,59.8,2.7,9.5,15,50.6,2.5,8,369,FAIL,,,,FAIL,,,,TO,,13090.9,0
gondor/kbop,12.7,10.9,0.9,9,44.3,10.8,4.4,19,44.3,10.4,4.3,18,44.3,8.6,4.2,11,43.4,8.4,4.1,11,46.1,8.5,4.3,10,44.1,3.5,3.8,87,FAIL,,,,FAIL,,,,TO,,6803.1,0
fleipold/jproc,14.2,22,1.6,0,366.3,97.8,32.7,1,310.9,95.9,28.7,1,466.3,98.7,39.9,1,449.7,99,38.7,1,FAIL,,,,278,93.3,26.2,8,312.2,93.2,28.6,1,FAIL,,,,TO,,6084.5,0
triologygmbh/reCAPTCHA-V2-java,1.6,7.5,4.5,0,165.8,11.1,107.2,70,161.5,10.8,104.5,2,164.4,10.9,106.3,1,167,10.8,107.8,5,219.3,11.2,139.7,7,184.2,11.6,118.7,963,FAIL,,,,FAIL,,,,TO,,54000.0,0
gwtplus/google-gin,10.7,8.7,0.8,0,341.1,23.8,34.1,53,349.6,24.7,35,51,340.5,23.4,34,10,346.2,23.2,34.5,10,362.4,23.6,36.1,10,341.1,23.4,34.1,69,FAIL,,,,FAIL,,,,TO,,8074.8,0
sylvainlaurent/swagger-validator-maven-plugin,2.2,12,5.5,0,960.8,60.5,466.3,1,942.4,61.4,458.3,1,936.2,60.6,455.2,1,948.8,60.5,460.9,1,979.7,59.9,474.7,1,914.3,60.7,445.2,1,FAIL,,,,FAIL,,,,TO,,39272.7,0
javacamp2022/pizza-lab,3.7,10.6,2.9,4,223,13.6,64.6,8,221.2,13.5,64.1,8,225,13.7,65.2,3,224.9,13.5,65.1,3,237,13.5,68.4,3,223.6,15.1,65.2,1241,FAIL,,,,FAIL,,,,TO,,23351.4,0
apache/dubbo-rpc-jsonrpc,5,26.1,5.2,1,661.7,50.6,141.1,46,684.1,47.5,144.9,14,639.3,43.7,135.3,2,654.7,44.5,138.5,2,798.5,46.5,167.3,2,649.8,45.6,137.7,537,FAIL,,,,TO,,17280.0,0,FAIL,,,
gturri/aXMLRPC,3,11.1,3.7,5,253.9,16.8,91.4,28,225.9,16.6,81.9,21,214.4,16.7,78.1,14,236.6,16.6,85.5,15,FAIL,,,,254.7,17.6,92,1151,FAIL,,,0,FAIL,,,,TO,,28800.0,0
rhwayfun/spring-boot-rocketmq-starter,4.8,FAIL,,,325.1,15.8,70.7,9,268.9,15.7,59,0,322.4,15.7,70.1,6,351.7,15.8,76.2,6,356.6,15.8,77.3,5,333.1,16.5,72.5,72,38478.14,26.23,8021.7,0,FAIL,,,,TO,,18000.0,0
kristofa/mock-http-server,1.9,7.6,4,0,272.5,19.1,153.4,216,337.3,17.9,186.9,210,274.1,18.4,153.9,47,260.3,17.5,146.2,46,TO,,45473.7,0,312.5,18.9,174.4,380,FAIL,,,,FAIL,,,,TO,,45473.7,0
alb-i986/selenium-tinafw,6.2,19.2,3.1,2,244.7,16.8,41.9,2,311.1,16.7,52.5,3,309.3,16.6,52.2,5,247.8,16.6,42.4,2,257.1,16.6,43.9,1,307.7,16.7,52,29,FAIL,,,,FAIL,,,,TO,,13935.5,0
eddi888/camel-tinkerforge,8.5,14.2,1.7,2,45,2.8,5.6,2,37.3,2.1,4.7,2,41.9,2.5,5.2,1,46.1,2.8,5.8,1,47.2,2.8,5.9,1,47.4,2.9,5.9,42,111.1,2.6,13.4,0,FAIL,,,,FAIL,,,
amazon-archives/dynamodb-key-diagnostics-library,6.8,19.3,2.8,4,1297.3,73.3,200.4,4,1308.6,73.2,202,4,1314.3,73.3,202.9,4,1311.5,72.7,202.4,4,1455.4,73.1,223.5,3,1301.3,73.8,201,26,FAIL,,,,FAIL,,,,TO,,12705.9,0
couchbaselabs/couchbase-capi-server,4.2,24.8,5.9,3,620.5,47.2,159,8,612.6,47.2,157.1,9,593.7,46,152.3,4,572.3,46.3,147.3,5,TO,,20571.4,0,666.4,46.2,169.7,844,FAIL,,,,FAIL,,,,TO,,20571.4,0
sahan/ZombieLink,19.9,49.5,2.5,0,1053.8,176,61.9,220,1007.5,191.2,60.3,142,994.4,122.9,56.2,13,993.8,120.6,56.1,13,FAIL,,,,908.1,110.6,51.2,399,FAIL,,,,FAIL,,,0,TO,,4341.7,0
pascalgn/jiracli,4.7,9.8,2.1,1,774.2,50.4,177.3,3,763.5,52,175.4,3,793.9,52.2,181.9,3,755.3,53,173.8,3,827.7,51.2,189,4,777.7,53.9,178.8,33,FAIL,,,,FAIL,,,,TO,,18383.0,0
wouterd/docker-maven-plugin,7.7,14.7,1.9,1,2636,203.5,369.2,5,2678.4,208.2,375.4,5,2654.2,207.4,372.1,2,2658.4,207.3,372.7,2,2675.3,212.8,375.6,2,2677.7,205.7,375,42,FAIL,,,,FAIL,,,,TO,,11220.8,0
tomekl007/manning_software_mistakes_and_tradeoffs,78.2,28.9,0.4,0,231.9,11,3.1,2,255.1,11.9,3.4,2,264.4,11.7,3.5,2,259.7,11.5,3.5,2,FAIL,,,,258.9,11.6,3.5,8,FAIL,,,2,FAIL,,,,TO,,1104.9,0
soot-oss/heros,28.2,11.8,0.4,1,321.1,23.6,12.2,0,322.8,23.8,12.3,0,324.2,23.5,12.3,0,319,23.6,12.2,0,330.2,24.1,12.6,0,331.5,24,12.6,145,FAIL,,,,FAIL,,,,TO,,3063.8,0
webjars/webjars-locator,43.8,51.4,1.2,0,FAIL,,,0,3240.2,412.3,83.4,0,TO,,1972.6,0,FAIL,,,,FAIL,,,0,2708.8,225.8,67,122,FAIL,,,2,FAIL,,,,TO,,1972.6,0
Cue/greplin-zookeeper-utils,7.2,FAIL,,,52.4,6.5,8.2,65,56.4,6.3,8.7,64,53.3,5.7,8.2,15,52.3,5.6,8,15,60.2,5.8,9.2,15,53,6.5,8.3,375,FAIL,,,,FAIL,,,0,FAIL,,,
imagej/example-script-collection,17.1,38.2,2.2,1,242.4,14.6,15.1,19,240.4,14.4,14.9,19,246.8,14.4,15.3,8,261.9,14.6,16.2,8,FAIL,,,,241.2,14.9,15,79,FAIL,,,,FAIL,,,0,FAIL,,,
twilio/authy-java,3.8,20.3,5.3,0,522.6,78.6,158.2,88,505.4,75.2,152.8,56,500.3,67.6,149.4,6,511.3,67.2,152.2,6,FAIL,,,,452.4,64.8,136.1,927,FAIL,,,,FAIL,,,,TO,,22736.8,0
sndyuk/logback-more-appenders,6.3,17.4,2.7,0,FAIL,,,,FAIL,,,,FAIL,,,,52.8,6.7,9.4,0,72,7.5,12.6,0,74.6,14,14,0,64.6,2.4,10.6,0,TO,,13714.3,0,TO,,13714.3,0
dropwizard-bundles/dropwizard-configurable-assets-bundle,4.1,21.6,5.3,2,390.9,25.2,101.2,5,390.7,25.6,101.3,5,403.1,26,104.4,5,397.2,25.3,102.8,5,FAIL,,,,360.2,29.4,94.8,318,FAIL,,,,TO,,21073.2,0,FAIL,,,
spring-projects/spring-analytics,12.2,28.9,2.4,2,2417,148.9,210,3,2390.1,145.9,207.5,2,2408.8,146.3,209.1,3,2406.7,147.2,209,3,FAIL,,,,2417.8,154,210.5,149,FAIL,,,,FAIL,,,,FAIL,,,0
dadiyang/wechat-client,26.7,14.4,0.5,3,660.4,63.7,27.2,5,676.6,64.8,27.8,5,640.5,64.3,26.4,5,652.1,66,26.9,5,FAIL,,,,667.7,64,27.4,396,FAIL,,,,FAIL,,,,TO,,3236.0,0
mariofusco/lambdaj,17.2,22.5,1.3,2,4156.9,548.2,274,21,FAIL,,,,FAIL,,,,4091.2,330.4,257.5,13,3982.4,319.5,250.5,12,4081.6,392.2,260.6,24,FAIL,,,12,FAIL,,,,TO,,5023.3,0
MagicTheGathering/mtg-sdk-java,32.4,129.2,4,0,TO,,2666.7,0,TO,,2666.7,0,TO,,2666.7,0,TO,,2666.7,0,TO,,2666.7,0,FAIL,,,,FAIL,,,,FAIL,,,,TO,,2666.7,0
imadcn/idworker,15,36.7,2.5,0,FAIL,,,,FAIL,,,,3484.4,194.4,245.6,25,3255.9,181.6,229.5,25,TO,,5760.0,0,FAIL,,,,TO,,5760.0,14,FAIL,,,,TO,,5760.0,0
fusesource/hawtjournal,13.6,82.5,6,0,FAIL,,,,268.3,18.9,21.1,0,268.7,19,21.1,0,FAIL,,,,287,19,22.4,0,257.2,19.8,20.3,21,FAIL,,,,FAIL,,,,FAIL,,,0
ManfredTremmel/gwt-commons-lang3,26.4,69.6,2.6,0,FAIL,,,0,FAIL,,,,FAIL,,,0,FAIL,,,0,FAIL,,,,FAIL,,,,TO,,3272.7,0,FAIL,,,,TO,,3272.7,0
ueshin/hbase-coprocessors,79.8,FAIL,,,TO,,1082.7,0,TO,,1082.7,0,FAIL,,,,FAIL,,,,TO,,1082.7,0,1045.8,200.5,15.6,1249,FAIL,,,,TO,,1082.7,0,TO,,1082.7,0
Mercateo/rest-hateoas-client,3.9,16.4,4.2,2,2130.2,131.6,575.5,23,FAIL,,,,FAIL,,,,2133.9,132,576.6,6,FAIL,,,,2123.4,134.9,574.6,64,FAIL,,,,FAIL,,,,TO,,22153.8,0
ohioit/rundeck-http-plugin,40.7,52.4,1.3,0,FAIL,,,,3872.3,1122.4,122.7,54,FAIL,,,,4251.9,1000.1,129,9,FAIL,,,,5174,992.8,151.5,1081,FAIL,,,,FAIL,,,,TO,,2122.9,0
michal-harish/kafka-hadoop-loader,64.4,81.7,1.3,3,FAIL,,,0,FAIL,,,,FAIL,,,,TO,,1341.6,0,FAIL,,,,FAIL,,,2427,FAIL,,,,FAIL,,,,TO,,1341.6,0
jalkanen/speed4j,82.1,FAIL,,,1035.6,173.7,14.7,11,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,968,155.3,13.7,49,1921.7,152.6,25.3,11,FAIL,,,,TO,,1052.4,0
rpuch/xremoting,23.2,15.3,0.7,0,191.2,43.1,10.1,0,190.3,41.9,10,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,3724.1,0
fusepoolP3/p3-transformer-library,37.1,52.7,1.4,3,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,2328.8,0,FAIL,,,,TO,,2328.8,15,FAIL,,,,TO,,2328.8,0
laforge49/JID,1.6,80.7,49.5,0,TO,,54000.0,0,17030.3,4477.7,13195.1,0,TO,,54000.0,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
alexec/thread-jiggler,8.5,29.8,3.5,1,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,56.1,4.5,7.1,2,FAIL,,,,FAIL,,,,60.7,5.6,7.8,2,TO,,10164.7,0
caduandrade/japura-framework,17.4,79.8,4.6,2,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,4965.5,0,FAIL,,,,TO,,4965.5,2,FAIL,,,,FAIL,,,0
mlieshoff/jcrapi,22.2,34.9,1.6,1,5150.4,472.1,253.2,226,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,0,TO,,3891.9,0
jlinn/quartz-redis-jobstore,67.9,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,0,FAIL,,,,FAIL,,,,TO,,1272.5,52,TO,,1272.5,0,TO,,1272.5,0
Sable/heros,2.9,12.8,4.4,0,426.1,27.8,154.9,0,429.5,28,156.1,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
Graylog2/gelfclient,7.1,23.5,3.3,1,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,3,FAIL,,,,TO,,12169.0,0
ptgoetz/storm-jms,13.1,22.3,1.7,4,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,6,FAIL,,,,TO,,6595.4,0
datasift/datasift-java,7.8,41.2,5.3,7,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,0,FAIL,,,,FAIL,,,,FAIL,,,,TO,,11076.9,0
cogroo/cogroo4,8.2,139.3,17,1,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,43,FAIL,,,3,FAIL,,,,FAIL,,,
googleads/adwords-scripts-linkchecker,39.8,30.5,0.8,1,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,2170.9,41,FAIL,,,,TO,,2170.9,0
lusis/zmq-appender,2.5,10.4,4.2,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,34560.0,0
klangfarbe/UML-Statechart-Framework-for-Java,5.8,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,45.7,1.4,8.1,49,FAIL,,,,FAIL,,,0
darcy-framework/synq,6.9,12.2,1.8,2,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,12521.7,0
Scout24/yum-repo-server,11,FAIL,,,3217.9,225,313.8,26,3230.3,225.7,315,33,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
microsoft/Git-Credential-Manager-for-Mac-and-Linux,20.1,37,1.8,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,4298.5,0
matzew/simple-websocket-client,14.1,20,1.4,1,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,6127.7,0
jrkinley/flume-interceptor-analytics,73.6,79.3,1.1,1,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,1173.9,0
nithril/smtp-connection-pool,3.1,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,27871.0,0,TO,,27871.0,0
aimmac23/selenium-video-node,20.8,51,2.4,3,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,4153.8,0
hazelcast/hazelcast-azure,12.8,30.6,2.4,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,6750.0,0
zhangyingwei/cockroach,10.2,29.5,2.9,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,8470.6,0
jhalterman/lyra,10.5,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,8228.6,12,FAIL,,,,TO,,8228.6,0
lialun/EasyCache,53,32.7,0.6,3,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,0
googlegenomics/utils-java,40.8,32.7,0.8,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,0,FAIL,,,
joestelmach/natty,5.3,39.9,7.5,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
ctapweb/AutoSubClause,4.4,18.7,4.3,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
davidmoten/rxjava-jdbc,6.6,26.9,4.1,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
wakaleo/maven-schemaspy-plugin,7.8,23.4,3,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
opentracing-contrib/java-grpc,10,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,0
Netflix/curator,77.9,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,TO,,1109.1,100,FAIL,,,,FAIL,,,
fordfrog/apgdiff,2.8,19.1,6.8,2,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
audit4j/audit4j-core,41.6,94.9,2.3,0,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
treasure-data/td-logger-java,3.5,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
nats-io/nats-connector-framework,5,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/hazeltask,8,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
ImmobilienScout24/yum-repo-server,4.8,FAIL,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,,FAIL,,,
osinka/camel-beanstalk,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actiontech/dble,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pf4j/pf4j-update,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvdBerg1998/PNet,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xedin/disruptor_thrift_server,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsmiley/SOLR-2155,32.1,100.3,3.1,0,9277.5,528.6,305.6,0,9820.7,550.9,323.2,0,8814.8,497.1,290.2,0,8978.3,504.7,295.5,0,8434.4,466.8,277.4,0,FAIL,,,0,TO,,2691.6,0,TO,,2691.6,0,TO,,2691.6,0
named-data/jndn,13.7,56.0,4.1,41,11673.6,797.5,913.0,43,12578.0,866.7,984.2,43,11362.8,783.8,889.2,17,12132.3,855.6,950.8,20,11107.2,761.6,868.9,15,11300.4,783.1,884.6,189,12195.6,793.6,950.9,103,FAIL,,,0,TO,,6306.6,0
phylogeography/spread,29.4,75.1,2.6,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,2938.8,0
phylogeography/SPREAD,12.6,79.6,6.3,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,6857.1,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,6857.1,0
avarabyeu/restendpoint,58.3,61,1.0,0,727.3,99.5,14.2,0,760.7,58.8,14.1,0,719.7,56.0,13.3,0,724.3,56.1,13.4,0,FAIL,,,0,1094.4,61.2,19.8,28,FAIL,,,0,TO,,1482.0,0,TO,,1482.0,0
OrderLab/OKLib,3.6,229.7,64.5,4,28069.15,4657.41,9090.7,0,26959.12,5146.92,8918.3,0,27099.78,2611.50,8253.1,0,27167.61,2441.24,8224.7,0,TO,,24000.0,0,FAIL,,,31,TO,,24000.0,18,FAIL,,,0,TO,,24000.0,0
amplafi/htmlcleaner,4.8,336.9,69.6,2,FAIL,,,0,FAIL,,,0,28061.48,2102.47,6284.2,0,FAIL,,,0,32339.15,2416.91,7240.8,0,FAIL,,,0,TO,,18000.0,0,FAIL,,,0,FAIL,,,0
javadev/jasper-xml-to-pdf-generator,58.1,33.3,0.6,1,11441.0,719.2,209.3,7,11455.9,718.5,209.6,7,11614.3,720.6,212.3,3,11523.7,721,210.8,3,13677.5,720.4,247.9,3,11381.1,838.4,210.4,793,FAIL,,,0,FAIL,,,0,TO,,1487.1,0
draeger-lab/EscherConverter,34.4,1221.5,35.6,0,TO,,2511.6,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,2511.6,1,FAIL,,,1,FAIL,,,0,TO,,2511.6,0
boundary/high-scale-lib,7.3,3791.5,520.8,0,TO,,11835.6,0,TO,,11835.6,0,TO,,11835.6,0,TO,,11835.6,0,TO,,11835.6,0,FAIL,,,0,TO,,11835.6,7,FAIL,,,0,TO,,11835.6,0
laforge49/JActor,25.4,FAIL,,0,TO,,3401.6,0,TO,,3401.6,0,TO,,3401.6,0,TO,,3401.6,0,FAIL,,,0,FAIL,,,0,TO,,3401.6,0,TO,,3401.6,0,9780.82,384.37,400.2,0
mrpdaemon/encfs-java,24.5,FAIL,,0,TO,,3526.5,0,TO,,3526.5,0,TO,,3526.5,0,TO,,3526.5,0,TO,,3526.5,0,FAIL,,,0,TO,,3526.5,0,FAIL,,,0,FAIL,,,0
caelum/vraptor4,34.5,99.7,2.9,0,FAIL,,,0,12023.1,571,364.5,45,12059.6,551.1,365.0,13,11989.5,568.7,363.5,14,FAIL,,,0,11421.6,957,358.3,190,FAIL,,,0,FAIL,,,0,TO,,2504.3,0
