repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
opentracing-contrib/java-concurrent,3.6,7.4,2.1,0,6.8,0.2,2,0,6.6,0.2,1.9,0,6.7,0.1,1.9,0,6.7,0.1,1.9,0,6.8,0.2,2,0,9.3,0.2,2.6,16,8.8,0.2,2.5,0,9.6,0.2,2.7,1,TO,,24000.0,0
javadelight/delight-fileupload,2.7,6.5,2.5,0,5.1,0.2,2,0,5.2,0.1,2,0,5.2,0.2,2,0,5.1,0.2,2,0,5.1,0.2,2,0,5.1,0.2,2,0,5.1,0.1,2,0,5,0.2,1.9,0,128.5,0.2,48.2,0
dyorgio/cpu-watcher,84.8,92.1,1.1,2,233,33.2,3.1,5,236,32.6,3.2,4,235.1,33.1,3.2,4,260,37.7,3.5,3,235,32.4,3.2,3,266.6,43.8,3.7,13,672.7,43.8,8.4,4,379.5,36.9,4.9,6,FAIL,,,0
ashenwgt/awesome-bdd-with-cucumber,4.4,27.8,6.3,0,130.3,8.7,31.3,16,129.9,8.5,31.2,17,132.4,8.7,31.8,1,133.2,8.9,32,1,133.7,8.7,32.1,1,131.1,9,31.6,262,170,8.8,40.3,17,169.6,8.5,40.1,17,TO,,19636.4,0
Skullabs/powerlib,6.2,11.7,1.9,1,10.3,0.2,1.7,1,10.2,0.2,1.7,1,10.3,0.2,1.7,1,10.6,0.2,1.8,1,10.3,0.2,1.7,1,10.5,0.2,1.7,1,10.4,0.2,1.7,1,10.3,0.2,1.7,1,12.3,0.2,2,1
tv2norge-collab/java-serf-client,2.1,9.8,4.7,1,9.1,0.3,4.5,1,8.8,0.3,4.3,1,8.7,0.3,4.3,1,8.6,0.3,4.2,1,8.5,0.3,4.2,1,8.8,0.3,4.3,2,8.8,0.3,4.3,2,8.7,0.3,4.3,1,37,0.3,17.7,1
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,4.2,9.6,2.3,1,8.2,0.2,2,1,8.5,0.2,2.1,1,8.1,0.2,2,1,8.8,0.2,2.1,1,8.9,0.2,2.2,1,8.8,0.4,2.2,1,9.2,0.2,2.3,1,8.4,0.4,2.1,1,74.6,0.2,17.9,1
Bernardo-MG/repository-pattern-java,3.3,10.6,3.2,3,20,1.6,6.6,4,19.3,1.3,6.3,4,19.8,1.7,6.6,3,20.1,1.3,6.5,3,20.2,1.7,6.7,3,20.7,1.6,6.8,166,37.6,1.7,12,6,23.6,1.7,7.7,4,FAIL,,,0
laforge49/JFile,2.5,74.3,30.1,0,87.3,18.4,42.8,9,85.6,18.1,42,7,86.4,18.1,42.3,7,87.2,18.2,42.7,7,92.8,17.5,44.6,3,87.8,21.4,44.2,337,1270.5,17.2,521.4,15,TO,,34560.0,0,TO,,34560.0,0
ronmamo/reflections,4.4,12.2,2.8,0,468.8,21.7,111.7,0,474.2,22,113,0,475,21.6,113.1,0,478.6,21.6,113.9,0,486,21.5,115.6,0,472,22.6,112.7,3,2122.8,21.5,488.5,0,FAIL,,,0,TO,,19636.4,0
syphr42/prom,1.7,8.5,5,0,11.7,0.3,7.1,15,8.2,0.3,4.9,15,8.8,0.3,5.3,3,8.8,0.3,5.3,3,8.4,0.3,5.1,3,8.7,0.3,5.3,55,11.7,0.3,7,16,121.7,0.3,71.4,31,TO,,50823.5,0
jclawson/jackson-dataformat-hocon,2.8,11.7,4.2,2,45.4,2.4,17.2,5,43.5,2.3,16.5,5,44.4,2.3,16.8,2,44.8,2.2,16.9,3,45.7,2.3,17.3,1,44.4,2.2,16.8,5,52.1,2.2,19.5,5,59,2.3,22.1,5,TO,,30857.1,0
xebia-france/xebia-servlet-extras,3.2,11.2,3.5,13,16.8,2.9,6.1,178,17,2.4,6,118,16.6,1.6,5.7,7,16.9,1.6,5.8,7,19.1,1.6,6.4,6,16,1.7,5.5,267,11382.7,1.6,3546.5,128,TO,,27000.0,0,TO,,27000.0,0
vbauer/herald,5.2,16.4,3.1,2,379.1,18.9,76.1,3,381.2,19.1,76.5,2,383.3,18.9,76.9,2,384.2,19.1,77.1,3,399.3,19.1,80,3,379.6,19.5,76.3,67,11853.1,19.3,2270.1,3,FAIL,,,0,TO,,16615.4,0
kevinsawicki/http-request,3.6,98.5,27.1,2,620.6,31.6,179.7,85,598,30.9,173.2,85,614.7,31.2,177.9,43,609.5,31.4,176.6,43,695.4,31.4,200.2,43,612.1,44.5,180.9,0,FAIL,,,5,TO,,24000.0,0,TO,,24000.0,0
majusko/grpc-jwt-spring-boot-starter,22.2,55.7,2.5,1,820.7,29.4,38.3,2,819.8,29.6,38.2,2,821.1,29.6,38.3,2,816.6,29.7,38.1,2,845.4,29.7,39.4,1,816.5,29.9,38.1,132,FAIL,,,0,FAIL,,,0,FAIL,,,0
kevinsawicki/etag-cache,3.2,12.5,4,5,18.1,2.2,6.4,7,18,2.1,6.4,7,17.8,2.1,6.3,7,17.7,2.1,6.3,7,18.4,2.2,6.5,7,18,2.6,6.5,849,22.4,2.1,7.7,10,TO,,27000.0,0,FAIL,,,0
jalpedersen/jetty-hazelcast,3.9,14.3,3.7,0,96.7,7.7,26.8,49,93.7,8.8,26.3,47,89.2,6.4,24.6,7,88,7,24.4,7,99.8,8.7,27.9,7,82.6,6.4,22.9,131,1097.1,7.4,283.9,44,TO,,22153.8,0,FAIL,,,0
zhanyeye/DesSim,3.2,225.2,69.7,48,62.1,7.8,21.6,91,62.9,7.6,21.8,94,68.2,7.9,23.6,63,68.6,7.9,23.7,51,338.23,62.24,125.1,0,60.9,7,21,326,66.24,69.34,42.4,108,125.3,10.2,42,104,FAIL,,,0
buddycloud/channel-directory,2.8,14.4,5.1,0,392.2,87.5,169.5,8,405.2,90.8,175.2,8,408.9,90.9,176.6,3,410.9,89.9,177,3,477.3,91,200.8,2,413.6,101,181.8,71,FAIL,,,8,TO,,30857.1,0,TO,,30857.1,0
520github/fw-perf-test,1.3,8879.3,6726.8,0,309.3,26.5,254.4,11,313.3,25.3,256.6,11,303.3,25.1,248.7,2,297.3,24.9,244.1,2,316.8,25.1,259.1,2,304,26.4,250.3,44,10986.6,25.6,8342.6,11,344.2,25.6,280.1,19,TO,,66461.5,0
NetsOSS/embedded-jetty,4.5,357.4,79.8,3,128.5,7.3,30.3,3,130.7,7.4,30.8,3,131.9,7.4,31.1,3,130.1,7.3,30.7,3,134.9,7.3,31.7,2,129.7,9,31,245,1140.1,7.4,256.1,7,TO,,19200.0,0,FAIL,,,0
undera/perfmon-agent,7.4,15.3,2.1,0,23,1,3.3,2,23.4,0.9,3.3,2,23.6,0.9,3.3,2,23.4,1.2,3.3,2,27.2,1.5,3.9,2,24.3,0.9,3.4,4,31.7,0.9,4.4,2,44.4,0.9,6.1,2,TO,,11675.7,0
