repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
kevinsawicki/etag-cache,goldilocks,5.35,373584,31.81,1.82,2408976,10,31.69,1.57,2405052,10,32.28,1.74,2440356,10
syphr42/prom,shb,2.07,279072,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,shbepoch,2.60,311424,FAIL,,,,FAIL,,,,FAIL,,,
Ardesco/driver-binary-downloader-maven-plugin,hb,12.26,375808,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,wcp,1.57,278940,FAIL,,,,FAIL,,,,FAIL,,,
cilogi/gaeshiro,shb,3.20,301860,20.87,1.27,2379948,3,20.20,1.26,2105992,3,20.95,1.27,2812056,3
tguzik/m2u,shbepoch,13.47,225684,60.17,4.41,2537952,133,57.15,4.34,710440,133,56.12,4.40,727072,133
PhantomThief/thrift-pool-client,lockset,1.87,341848,8.98,0.51,619972,13,9.04,0.57,638808,12,8.88,0.52,632688,13
tguzik/m2u,lockset,2.57,271452,59.58,5.64,2495888,176,57.69,4.22,903448,194,57.44,4.23,2552620,190
PhantomThief/thrift-pool-client,hb,2.01,305556,11.98,0.65,637284,4,11.11,0.60,618024,7,11.18,0.61,638760,7
PhantomThief/thrift-pool-client,goldilocks,1.88,362228,11.89,0.62,688724,12,11.91,0.62,712020,12,11.92,0.55,688988,12
cilogi/gaeshiro,fhb,4.12,257900,34.42,1.75,2575740,3,32.42,1.66,2597308,3,33.42,1.69,2547396,3
PhantomThief/thrift-pool-client,fhb,2.47,345384,12.83,0.47,616728,3,12.40,0.46,646168,2,12.76,0.49,625840,2
cilogi/gaeshiro,lockset,3.87,254976,32.29,2.12,2523764,43,31.39,15.43,2231904,65,32.44,2.14,2401332,65
PhantomThief/thrift-pool-client,shbepoch,2.12,307200,10.40,0.53,614428,3,10.35,0.48,609456,3,10.67,0.52,614400,3
PhantomThief/thrift-pool-client,shb,2.10,304128,10.73,0.54,617472,3,10.57,0.51,589432,3,10.39,0.48,617484,2
PhantomThief/thrift-pool-client,hbepoch,2.21,325632,10.94,0.58,611372,6,10.64,0.53,614372,6,10.55,0.51,608284,3
cilogi/gaeshiro,hbepoch,3.90,267264,33.88,2.24,1844944,4,33.20,11.95,2330596,4,34.56,2.03,2397424,4
rbuck/java-retry,fhb,27.13,262336,30.24,0.26,407852,9,30.12,0.24,427216,9,30.20,0.25,399432,9
cilogi/gaeshiro,goldilocks,3.90,254976,36.44,2.04,2158016,6,35.42,7.51,2322980,6,35.27,2.04,2039204,6
PhantomThief/thrift-pool-client,wcp,2.54,345740,14.82,0.52,1020492,7,15.50,0.51,1350964,7,15.93,0.50,1330912,7
hackingwu/Java-Promise,hb,5.95,259528,12.11,0.34,415504,6,11.73,0.26,397012,6,11.59,0.28,404944,6
rbuck/java-retry,lockset,26.09,272964,30.74,0.27,394956,10,30.67,0.32,408196,10,30.23,0.30,417972,10
rbuck/java-retry,syncp,25.97,227740,30.81,0.21,651152,8,30.86,0.20,642856,8,30.73,0.24,658384,8
rbuck/java-retry,shb,27.00,236544,31.10,0.29,374668,9,31.00,0.29,384604,9,31.00,0.31,385252,9
rbuck/java-retry,hb,27.04,236544,31.06,0.31,387828,12,31.25,0.31,391300,12,31.05,0.29,384140,12
cilogi/gaeshiro,hb,3.62,302388,32.11,1.70,2424672,4,31.95,1.67,2236512,4,31.68,1.68,2234888,4
hackingwu/Java-Promise,fhb,5.47,255536,10.10,0.15,389208,2,10.10,0.22,381812,3,9.88,0.26,398608,3
hackingwu/Java-Promise,shb,5.73,199680,9.95,0.22,365592,3,10.15,0.20,368668,2,10.17,0.20,365568,2
hackingwu/Java-Promise,shbepoch,6.34,242688,10.15,0.20,380956,2,10.61,0.23,380956,3,10.23,0.27,362524,2
hackingwu/Java-Promise,syncp,5.23,254892,10.46,0.22,691828,1,10.30,0.24,708884,1,10.77,0.29,676632,2
hackingwu/Java-Promise,hbepoch,5.76,263436,11.72,0.32,379404,6,11.35,0.77,397728,6,11.73,0.46,397008,6
hackingwu/Java-Promise,wcp,5.73,260664,11.26,0.33,399240,11,10.85,0.25,382628,11,10.84,0.33,366532,11
hackingwu/Java-Promise,lockset,6.06,264536,12.03,0.37,393000,11,11.90,0.30,406364,11,11.65,0.29,398352,11
hackingwu/Java-Promise,goldilocks,6.05,263584,12.20,0.31,407720,6,12.11,0.27,388340,6,11.76,0.26,385764,6
cilogi/gaeshiro,shbepoch,2.32,261120,31.77,2.11,1768292,3,44.23,2.05,2131996,3,31.86,2.17,2078284,3
rbuck/java-retry,goldilocks,27.04,242688,31.42,0.32,382084,14,44.17,0.27,374948,14,31.08,0.34,390172,14
rbuck/java-retry,wcp,26.91,261000,31.66,0.31,383280,12,44.03,0.28,379032,12,31.04,0.42,378324,12
tguzik/m2u,goldilocks,2.57,273176,72.12,4.03,2953580,176,71.03,3.90,4076644,176,75.62,4.05,4504320,178
tguzik/m2u,fhb,2.81,274760,76.30,5.85,2541224,133,78.34,5.78,2376376,134,71.63,5.89,1003080,134
tguzik/m2u,wcp,2.56,305796,87.15,4.70,10565068,192,88.02,4.68,11193660,196,75.05,4.16,10047620,174
mikebrock/jboss-websockets,lockset,31.86,565260,38.44,5.46,761808,11,39.50,5.82,764356,7,39.78,5.77,1279568,9
mikebrock/jboss-websockets,shbepoch,32.10,579600,42.21,3.99,696148,7,38.21,1.38,688856,8,47.75,5.21,688972,7
mikebrock/jboss-websockets,fhb,32.53,578520,41.64,4.88,736252,8,39.57,4.69,719408,7,42.63,4.42,714424,7
mikebrock/jboss-websockets,hbepoch,31.89,578124,46.26,10.80,719796,7,39.38,4.96,1157540,8,39.19,4.33,688980,4
mikebrock/jboss-websockets,shb,31.56,574492,43.34,5.54,720912,3,49.33,6.43,710752,5,42.46,5.29,699116,7
zman2013/scuttlebutt,hb,4.38,327112,28.13,1.68,1444588,29,27.51,3.40,1454812,33,28.45,1.80,2126528,30
zman2013/scuttlebutt,hbepoch,4.24,325632,29.77,1.84,3033036,28,31.02,1.63,1815408,28,28.44,1.72,2833672,28
zman2013/scuttlebutt,fhb,2.50,324400,31.73,1.73,3179520,10,28.32,1.66,3100704,10,29.43,1.81,2936184,10
zman2013/scuttlebutt,wcp,5.07,357704,26.24,1.23,6036128,29,30.50,1.04,6960548,29,26.88,1.05,6349128,32
zman2013/scuttlebutt,lockset,4.59,318388,30.52,1.98,3189368,96,31.53,1.87,3213352,92,29.74,1.96,3247964,95
zman2013/scuttlebutt,shb,6.74,353540,29.59,1.36,1902612,12,29.47,1.35,2738632,15,29.05,1.34,1857816,15
zman2013/scuttlebutt,shbepoch,6.86,352260,30.10,1.45,1391824,17,31.42,1.47,2663756,18,29.65,1.48,1615436,17
offbynull/portmapper,shb,4.11,384376,FAIL,,,,FAIL,,,,FAIL,,,
zman2013/scuttlebutt,goldilocks,2.99,330296,38.01,1.65,2947568,32,36.01,1.78,3216076,31,38.63,1.71,1796004,33
VaughnVernon/mockroservices-java,hb,4.47,257712,18.09,1.28,680852,8,17.78,1.25,695288,8,17.55,1.27,690008,8
VaughnVernon/mockroservices-java,hbepoch,4.42,258680,18.16,1.62,686336,8,17.74,1.24,697988,8,17.73,1.27,682760,8
VaughnVernon/mockroservices-java,shbepoch,4.45,265408,17.92,1.28,686620,5,17.82,1.29,697376,5,17.64,1.28,683136,5
VaughnVernon/mockroservices-java,shb,4.76,261952,18.66,0.85,687916,5,18.66,0.83,687304,5,18.53,0.85,706016,5
VaughnVernon/mockroservices-java,lockset,4.49,233472,17.21,1.07,691212,13,17.93,1.05,681984,13,18.42,1.05,665644,13
offbynull/portmapper,shbepoch,4.68,375556,FAIL,,,,FAIL,,,,FAIL,,,
offbynull/portmapper,wcp,4.37,379680,FAIL,,,,FAIL,,,,FAIL,,,
VaughnVernon/mockroservices-java,fhb,4.94,265212,19.25,0.86,713072,5,19.05,0.81,726984,5,20.08,0.83,701784,5
offbynull/portmapper,hbepoch,4.73,389272,FAIL,,,,FAIL,,,,FAIL,,,
offbynull/portmapper,fhb,4.74,384144,FAIL,,,,FAIL,,,,FAIL,,,
VaughnVernon/mockroservices-java,goldilocks,4.45,265596,18.21,2.05,686772,10,18.34,1.29,690880,10,18.28,1.26,690936,10
VaughnVernon/mockroservices-java,wcp,4.45,259980,19.86,1.33,2000096,9,19.97,1.33,1986260,9,19.99,1.33,1993772,9
mikebrock/jboss-websockets,hb,31.83,568096,45.69,50.17,712924,7,46.03,22.31,712148,7,44.74,41.50,705712,7
ihaolin/wechat,hbepoch,3.50,264380,8.00,0.25,533024,10,8.04,0.23,537912,10,7.93,0.21,546084,10
mikebrock/jboss-websockets,wcp,32.85,580660,42.03,5.91,2003716,7,48.08,5.29,2388716,6,47.75,99.81,1408412,13
ihaolin/wechat,shb,3.59,262648,9.01,0.25,550296,2,8.86,0.22,556436,2,8.97,0.21,541340,2
ihaolin/wechat,hb,4.02,263756,9.97,0.31,545564,15,9.94,0.29,533096,15,9.85,0.31,537176,15
ihaolin/wechat,wcp,3.40,266820,7.67,0.23,546332,15,7.61,0.23,554148,15,7.58,0.20,557436,15
offbynull/portmapper,lockset,4.80,386480,FAIL,,,,FAIL,,,,FAIL,,,
ihaolin/wechat,fhb,3.97,261676,10.79,0.36,537436,2,10.34,0.26,558448,2,10.57,0.25,544016,2
ihaolin/wechat,goldilocks,3.94,307008,10.39,0.33,543812,10,9.84,0.29,522444,10,9.99,0.26,540788,10
ihaolin/wechat,lockset,4.22,265816,10.38,0.31,539332,17,10.01,0.28,537760,17,10.05,0.31,549072,17
ihaolin/wechat,shbepoch,4.34,263596,10.62,0.30,525312,2,11.06,0.28,539644,2,10.81,0.26,545132,2
ihaolin/wechat,syncp,3.56,259692,10.29,0.20,793536,2,10.20,0.21,789612,2,10.44,0.21,791252,2
mikebrock/jboss-websockets,syncp,31.75,568624,89.57,0.23,11361472,0,87.78,0.23,11354260,0,93.77,0.15,10108340,0
cilogi/gaeshiro,wcp,3.87,258048,108.56,2.10,23040964,9,96.14,1.98,22181376,4,111.68,2.09,24043512,47
rovats/java-utils,hb,1.87,260700,7.76,0.27,402656,1,7.81,0.25,409892,1,7.77,0.26,394452,1
rovats/java-utils,lockset,1.60,239616,5.86,0.29,380936,2,5.36,0.23,365628,3,5.58,0.28,377912,3
rovats/java-utils,goldilocks,1.50,233484,5.56,0.23,384048,2,5.56,0.24,368700,2,5.51,0.22,371760,2
rovats/java-utils,shbepoch,1.66,258036,6.88,0.22,412608,1,6.99,0.22,413480,1,6.87,0.21,416628,1
rovats/java-utils,fhb,1.82,262836,7.06,0.27,384016,1,6.66,0.21,385748,1,6.57,0.20,385136,1
rovats/java-utils,wcp,1.52,227328,5.59,0.20,377884,1,5.61,0.20,387120,1,5.72,0.20,377548,2
rovats/java-utils,shb,1.92,264584,8.37,0.26,406156,1,8.04,0.23,408780,1,8.05,0.26,403616,1
rovats/java-utils,hbepoch,2.46,264228,8.25,0.34,406396,1,7.97,0.29,420968,1,8.18,0.25,409448,1
zhanyeye/DesSim,hb,2.55,294912,42.50,6.92,689328,90,45.36,7.10,684004,100,45.06,7.02,662448,100
Azure-Samples/cassandra-proxy,shb,2.93,312656,57.92,2.82,856892,2,57.59,2.75,874604,2,57.34,2.82,1189604,2
zhanyeye/DesSim,shbepoch,2.67,317632,27.98,3.88,675540,69,55.49,10.45,710060,80,46.51,7.98,704864,72
MountCloud/ffmpeg-operate,hb,3.15,258612,9.37,0.34,660128,14,9.28,0.36,654072,14,9.25,0.39,638484,14
MountCloud/ffmpeg-operate,hbepoch,3.12,258356,9.43,0.37,647044,14,9.33,0.35,643184,14,9.32,0.35,646252,14
MountCloud/ffmpeg-operate,goldilocks,2.97,266320,7.85,0.26,644612,17,7.93,0.27,675040,17,7.86,0.28,678296,17
offbynull/portmapper,goldilocks,6.20,374932,FAIL,,,,FAIL,,,,FAIL,,,
jalpedersen/jetty-hazelcast,lockset,2.81,263188,76.09,6.25,4923988,131,77.53,6.66,5182880,131,76.14,6.07,4784484,131
MountCloud/ffmpeg-operate,lockset,3.06,265632,8.80,0.40,647932,73,8.86,0.37,641184,73,8.60,0.41,642424,73
MountCloud/ffmpeg-operate,fhb,3.22,230400,8.82,0.34,620600,14,9.61,0.32,620548,14,9.63,0.39,611332,14
MountCloud/ffmpeg-operate,shb,3.55,258288,10.63,0.36,657868,14,10.68,0.36,647892,14,10.62,0.38,630432,14
MountCloud/ffmpeg-operate,shbepoch,3.64,267372,10.96,0.38,637788,14,10.84,0.37,636864,14,10.79,0.32,620068,14
Azure-Samples/cassandra-proxy,fhb,2.47,270336,61.03,3.89,1213708,2,66.77,4.19,4712476,2,66.31,4.08,4678068,2
Azure-Samples/cassandra-proxy,shbepoch,3.23,314156,65.17,3.29,760684,2,65.71,3.29,740620,2,65.49,3.22,745776,2
520github/fw-parallel-task,hb,31.82,272048,36.79,0.29,459164,9,36.61,0.25,459580,9,36.90,0.30,447400,9
jalpedersen/jetty-hazelcast,shb,2.99,275164,84.73,6.08,6784824,7,86.40,6.10,6236888,7,87.39,6.14,5537328,7
MountCloud/ffmpeg-operate,wcp,4.29,266736,12.48,0.56,670124,14,12.82,0.47,645744,14,12.10,0.47,656204,14
Azure-Samples/cassandra-proxy,hbepoch,2.87,310992,65.76,6.17,699556,2,63.73,5.89,734064,2,64.89,5.87,736976,2
Azure-Samples/cassandra-proxy,lockset,2.46,313388,64.57,6.04,730940,27,64.43,5.87,720044,27,65.20,5.90,738688,27
520github/fw-parallel-task,hbepoch,32.61,271220,36.79,0.30,455748,9,36.52,0.28,451328,9,36.60,0.28,461984,9
520github/fw-parallel-task,shb,31.64,230400,35.95,0.26,445468,5,36.12,0.24,429512,5,35.98,0.28,431468,5
520github/fw-parallel-task,fhb,31.95,271924,38.11,0.34,459532,5,37.79,0.27,451044,5,37.69,0.29,463944,5
520github/fw-parallel-task,shbepoch,31.98,300368,38.31,0.27,438728,5,37.94,0.28,441956,5,37.83,0.27,458016,5
opentracing-contrib/java-concurrent,shbepoch,5.50,265144,8.43,0.20,467376,0,8.66,0.23,498668,0,8.79,0.21,474488,0
520github/fw-parallel-task,goldilocks,32.19,268588,38.26,0.37,453800,9,37.79,0.31,457624,9,37.84,0.32,461092,9
520github/fw-parallel-task,wcp,32.06,264880,38.05,0.31,456628,9,37.86,0.31,462792,9,37.75,0.32,457636,9
opentracing-contrib/java-concurrent,hbepoch,7.90,266036,10.35,0.24,509460,0,10.31,0.23,495368,0,10.38,0.23,503472,0
opentracing-contrib/java-concurrent,shb,6.76,261544,10.69,0.26,518420,0,10.59,0.25,484516,0,10.50,0.23,499276,0
520github/fw-parallel-task,lockset,32.24,269508,39.43,0.46,451464,11,38.93,0.38,458228,11,40.23,0.37,448776,11
opentracing-contrib/java-concurrent,hb,7.96,261112,11.50,0.24,504224,0,11.42,0.25,487880,0,12.00,0.20,528644,0
kurbatov/firmata4j,hb,3.38,251904,7.57,0.18,473132,2,7.68,0.20,451376,2,7.51,0.21,460720,2
kurbatov/firmata4j,hbepoch,3.19,254976,7.55,0.20,460800,2,7.55,0.23,466984,2,7.47,0.18,454696,2
opentracing-contrib/java-concurrent,goldilocks,4.43,267964,11.47,0.31,504896,0,11.34,0.26,494932,0,11.70,0.25,503088,0
kurbatov/firmata4j,fhb,3.44,302736,8.61,0.27,499440,2,8.63,0.20,503752,2,8.60,0.22,485216,2
520github/fw-parallel-task,syncp,31.64,261912,43.31,0.25,1827536,3,43.89,0.28,1825676,3,43.69,0.26,1831688,3
kurbatov/firmata4j,shb,3.89,293264,10.32,0.29,497320,2,10.10,0.27,484924,2,10.49,0.26,494432,2
kurbatov/firmata4j,shbepoch,4.00,300720,10.37,0.27,505416,2,10.70,0.27,502720,2,FAIL,,,
kurbatov/firmata4j,goldilocks,3.68,305564,9.57,0.25,502288,2,9.01,0.20,483652,2,9.00,0.20,486652,2
opentracing-contrib/java-concurrent,wcp,4.20,269508,14.99,0.34,2250128,1,14.47,0.29,2259304,1,14.81,0.28,2243708,1
kurbatov/firmata4j,lockset,3.97,299816,11.14,0.28,488816,7,10.72,0.25,498296,7,10.74,0.27,490896,7
kurbatov/firmata4j,wcp,4.04,305368,10.15,0.25,510592,2,9.60,0.27,513188,2,10.13,0.27,521980,2
mikebrock/jboss-websockets,goldilocks,31.74,565400,43.33,102.64,689344,10,44.70,127.49,685860,7,43.76,11.81,684648,10
Azure-Samples/cassandra-proxy,goldilocks,2.46,324804,81.97,5.83,1290280,2,79.36,5.81,1259128,2,80.17,5.78,1294584,2
jiangxincode/SearchEngine,hb,1.60,251904,5.72,0.22,402464,2,5.57,0.22,393016,2,5.71,0.19,402432,3
jiangxincode/SearchEngine,hbepoch,1.49,254976,5.55,0.20,393240,2,5.63,0.20,393260,2,5.63,0.18,402480,2
rovats/java-utils,syncp,1.69,233432,35.55,0.21,6158092,1,38.89,0.19,6177376,1,37.91,0.19,6165572,1
jiangxincode/SearchEngine,shb,1.66,285212,6.78,0.22,415436,2,6.47,0.21,416688,2,5.64,0.20,415000,2
opentracing-contrib/java-concurrent,fhb,5.43,267060,21.51,0.49,515820,0,21.68,0.38,486344,0,21.67,0.35,498512,0
jiangxincode/SearchEngine,lockset,1.73,254976,6.21,0.25,408584,5,6.37,0.24,398744,5,6.45,0.25,399376,5
opentracing-contrib/java-concurrent,lockset,5.40,269448,20.75,0.59,504688,16,21.65,0.59,499088,16,21.71,0.56,498652,16
jiangxincode/SearchEngine,shbepoch,2.11,283288,8.04,0.25,416028,2,7.91,0.24,425104,2,7.89,0.26,424208,2
jiangxincode/SearchEngine,fhb,1.99,286756,8.38,0.28,431444,2,7.83,0.23,426268,2,7.92,0.24,421540,2
jiangxincode/SearchEngine,goldilocks,2.25,286180,8.21,0.25,431952,4,8.60,0.28,429292,7,8.61,0.23,428752,4
dubasdey/portable-ftp-server,shb,1.65,244624,5.59,0.19,641420,2,5.62,0.17,647784,2,5.61,0.19,642444,2
jiangxincode/SearchEngine,wcp,2.13,284332,8.64,0.26,413880,3,8.93,0.23,426828,3,9.05,0.28,432480,2
Azure-Samples/cassandra-proxy,hb,3.68,311352,88.91,6.83,653824,2,89.75,6.42,655072,2,90.70,6.74,656080,2
dubasdey/portable-ftp-server,shbepoch,1.93,269176,8.66,0.30,673776,2,8.03,0.21,671028,2,7.28,0.24,656736,2
dubasdey/portable-ftp-server,fhb,1.91,270004,8.28,0.24,656000,2,8.43,0.30,663772,2,7.79,0.25,660468,2
jiangxincode/SearchEngine,syncp,2.19,322640,11.71,0.23,781428,1,11.43,0.25,778080,3,11.53,0.25,796000,2
dubasdey/portable-ftp-server,hb,2.14,268940,10.72,0.31,692156,2,8.80,0.30,652620,2,9.42,0.26,661396,2
dubasdey/portable-ftp-server,hbepoch,2.49,272348,10.52,0.34,682804,2,9.67,0.37,685648,2,9.69,0.31,662792,2
dubasdey/portable-ftp-server,goldilocks,2.07,259180,9.08,0.28,669420,2,9.28,0.23,692052,2,9.26,0.24,678900,2
dubasdey/portable-ftp-server,lockset,2.27,269412,9.92,0.40,667252,8,9.68,0.30,654804,8,9.70,0.31,659172,8
dubasdey/portable-ftp-server,wcp,2.15,270540,9.20,0.25,690388,2,9.21,0.25,699368,2,9.13,0.24,683680,2
Azure-Samples/cassandra-proxy,wcp,2.37,314924,93.19,6.80,11506632,32,105.72,5.92,15941784,33,107.54,5.90,16844308,33
javadelight/delight-fileupload,fhb,2.28,427008,7.62,0.35,643972,0,7.94,1.20,642092,0,7.70,0.31,648244,0
javadelight/delight-fileupload,shb,3.27,479408,9.27,0.26,669600,0,9.44,0.25,671264,0,9.46,0.32,676324,0
javadelight/delight-fileupload,hb,3.32,483260,9.37,0.37,689676,0,9.60,0.35,683704,0,9.34,0.35,685084,0
javadelight/delight-fileupload,shbepoch,2.72,427008,9.42,0.31,642076,0,10.24,0.31,666624,0,8.96,0.32,632840,0
javadelight/delight-fileupload,hbepoch,3.23,475564,9.84,0.31,691616,0,10.68,0.29,695096,0,10.17,0.28,687692,0
javadelight/delight-fileupload,wcp,2.74,463576,9.87,0.47,682620,0,10.36,0.23,702572,0,8.14,0.27,683068,0
javadelight/delight-fileupload,lockset,3.26,449104,11.17,1.20,683608,0,11.13,0.30,686972,0,11.06,0.32,702348,0
javadelight/delight-fileupload,goldilocks,3.28,485144,11.24,0.33,683628,0,11.13,0.31,673492,0,10.95,0.30,681252,0
kurbatov/firmata4j,syncp,3.39,314104,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,hbepoch,3.21,348368,79.10,5.41,729044,4,FAIL,,,,77.90,5.42,702552,4
Skullabs/powerlib,hb,5.14,280708,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,hbepoch,4.70,280244,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,lockset,1.91,307200,FAIL,,,,82.94,9.46,678360,121,82.88,9.53,672808,119
Skullabs/powerlib,shb,4.73,278400,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,shbepoch,4.61,284720,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,shb,1.81,314504,82.90,8.75,711136,4,82.62,8.77,699964,4,81.77,8.87,694664,4
Skullabs/powerlib,wcp,4.56,260032,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,lockset,4.68,285400,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,syncp,4.63,284940,FAIL,,,,FAIL,,,,FAIL,,,
jalpedersen/jetty-hazelcast,shbepoch,3.73,264452,164.93,11.04,5104800,9,162.22,11.05,5357984,9,165.15,11.49,5462252,9
sdorra/ldap-unit,fhb,2.01,311876,85.34,8.92,980516,4,84.15,8.90,865452,4,90.67,8.90,910548,4
tv2norge-collab/java-serf-client,hb,1.72,261024,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,shbepoch,2.16,316428,90.16,7.25,757672,4,89.07,8.20,699480,4,101.98,7.20,682296,4
tv2norge-collab/java-serf-client,shbepoch,1.74,262988,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,shb,1.94,262724,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,goldilocks,1.24,241164,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,hbepoch,2.33,272224,FAIL,,,,FAIL,,,,FAIL,,,
j-easy/easy-flows,hbepoch,3.53,296360,59.82,3.08,3757480,1,59.69,3.04,3700624,1,59.26,3.06,3954540,1
tv2norge-collab/java-serf-client,fhb,1.64,259252,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,shbepoch,2.22,262144,32.61,1.87,2007140,3,29.56,2.23,2051992,3,33.00,3.56,1911844,3
tv2norge-collab/java-serf-client,lockset,1.88,268988,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,wcp,2.25,271856,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,syncp,3.25,265660,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,shb,2.40,265384,40.45,2.58,1939572,3,38.80,2.46,2001952,3,40.06,2.41,2104596,3
jclawson/jackson-dataformat-hocon,fhb,1.69,230400,39.90,3.45,2045984,3,41.51,3.42,1942008,3,41.18,4.68,2036740,3
jclawson/jackson-dataformat-hocon,lockset,1.59,236544,39.85,3.54,1680308,5,39.69,3.57,1533112,3,41.58,4.34,1982344,3
jclawson/jackson-dataformat-hocon,hbepoch,2.35,261612,45.61,2.40,1749796,5,46.28,2.35,1925756,5,44.26,2.54,1812884,5
jclawson/jackson-dataformat-hocon,hb,2.42,267276,46.81,2.34,2176552,5,46.95,2.32,2019272,5,47.84,2.40,2070048,5
j-easy/easy-flows,shbepoch,2.22,267264,70.29,6.86,948396,1,71.55,8.56,1603288,1,70.29,6.52,1319444,1
jalpedersen/jetty-hazelcast,fhb,3.48,273312,192.66,11.46,9295364,9,196.65,12.17,10097780,9,173.60,11.56,9365608,9
vbauer/herald,hbepoch,3.80,370872,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,goldilocks,2.00,261072,46.02,2.05,2528364,5,49.43,2.62,2654772,5,47.17,2.12,2791544,5
j-easy/easy-flows,shb,2.45,285696,74.16,6.55,4016844,1,73.92,6.57,4374280,1,74.80,6.61,4427244,1
j-easy/easy-flows,hb,5.18,298084,80.73,4.23,4032884,1,79.92,4.23,2943984,1,81.82,4.36,4069028,1
j-easy/easy-flows,lockset,3.12,304352,79.55,4.30,2834804,1,78.72,4.38,2691936,1,79.60,4.23,2964080,1
j-easy/easy-flows,fhb,3.13,320700,79.09,4.01,5723656,1,84.85,4.05,5978732,1,82.70,4.05,5485368,1
