repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
xebia-france/xebia-servlet-extras,lockset,6.98,229064,34.43,2.04,1249984,267,15.48,1.94,1270724,267,15.02,1.70,1252256,267
xebia-france/xebia-servlet-extras,fhb,6.61,233472,42.00,6.47,2519544,6,22.49,2.96,2007972,6,21.45,2.92,2720916,6
kevinsawicki/etag-cache,shb,5.21,374448,16.15,2.57,1276340,7,12.70,2.69,1247272,6,12.61,1.11,1223200,6
kevinsawicki/etag-cache,hb,6.88,370236,16.13,2.64,1208088,7,14.57,1.82,1235292,7,12.75,1.15,1228552,7
xebia-france/xebia-servlet-extras,shb,7.02,267828,47.10,5.84,869540,7,31.37,4.64,1281356,7,28.92,4.12,1285884,7
kevinsawicki/etag-cache,hbepoch,7.09,370612,17.58,2.00,1202432,7,15.95,1.63,1221200,7,15.58,1.54,946120,7
xebia-france/xebia-servlet-extras,hbepoch,7.38,272724,46.71,7.22,742236,118,30.90,5.72,760680,118,30.25,5.05,739448,118
kevinsawicki/etag-cache,fhb,4.31,368796,17.65,1.89,1382816,7,15.86,1.55,1372880,7,15.48,1.52,1391564,7
kevinsawicki/etag-cache,shbepoch,4.04,371348,23.02,3.35,1210768,7,14.14,1.40,1278632,7,15.21,1.38,1286432,7
xebia-france/xebia-servlet-extras,goldilocks,4.10,278080,58.67,2.82,2685148,128,37.44,2.10,2672456,131,40.38,2.13,2651576,128
tguzik/m2u,shb,13.44,270288,43.96,3.62,989152,133,43.85,3.18,2460148,133,41.28,2.95,769712,133
tguzik/m2u,hbepoch,13.47,262112,46.90,3.43,3095724,192,42.00,2.95,1277368,175,40.61,2.98,2882912,175
Ardesco/driver-binary-downloader-maven-plugin,shb,11.64,347224,FAIL,,,,FAIL,,,,FAIL,,,
tguzik/m2u,hb,13.44,275520,44.25,3.86,2293660,163,42.81,3.71,979272,173,41.97,3.47,2467416,192
kevinsawicki/etag-cache,lockset,4.95,328704,17.91,12.87,1269552,856,17.45,11.24,1206392,856,17.24,11.09,1222684,856
Ardesco/driver-binary-downloader-maven-plugin,shbepoch,11.33,340072,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,fhb,1.52,277816,FAIL,,,,FAIL,,,,FAIL,,,
Ardesco/driver-binary-downloader-maven-plugin,fhb,11.85,336300,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,hbepoch,2.23,239628,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,hb,1.95,286072,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,lockset,1.45,287076,FAIL,,,,FAIL,,,,FAIL,,,
Ardesco/driver-binary-downloader-maven-plugin,hbepoch,10.13,341300,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,goldilocks,1.66,238676,FAIL,,,,FAIL,,,,FAIL,,,
