repo,alg,base_rt,base_mem,rt1,mem1,races1,rt2,mem2,races2,rt3,mem3,races3
tguzik/m2u,rv,11.30,263908,13.48,778764,71,12.73,766416,70,13.03,774240,97
syphr42/prom,rv,5.73,272400,FAIL,,,FAIL,,,FAIL,,
kevinsawicki/etag-cache,rv,8.81,384208,69.01,824100,5,31.82,861252,5,21.87,851492,5
cilogi/gaeshiro,rv,52.59,296552,15.92,1273952,0,16.21,1234484,0,28.73,1231448,0
hackingwu/Java-Promise,rv,6.27,260888,12.53,498572,1,26.28,501768,1,12.20,523204,1
m-czernek/acrobot,rv,69.16,511016,49.82,3881680,12,27.48,3914572,14,26.92,3896320,14
zman2013/scuttlebutt,rv,9.48,322560,8.57,743456,16,10.79,732996,23,22.96,744744,23
jalpedersen/jetty-hazelcast,rv,9.62,271504,11.32,791340,0,10.48,803236,0,11.21,813224,0
vbauer/herald,rv,18.03,311504,FAIL,,,FAIL,,,FAIL,,
Azure-Samples/cassandra-proxy,rv,10.86,284760,29.36,752144,0,19.62,745432,0,18.09,752748,0
zhanyeye/DesSim,rv,16.08,294808,21.62,725368,40,17.49,713748,59,19.95,749180,47
rbuck/java-retry,rv,36.36,260828,117.47,1380216,0,89.87,1412764,0,102.78,1177564,0
PhantomThief/thrift-pool-client,rv,10.34,310272,67.64,1038608,0,67.41,1057904,0,79.15,1076736,0
VaughnVernon/mockroservices-java,rv,5.31,268160,29.68,652892,7,11.98,622412,7,11.81,653372,7
buddycloud/channel-directory,rv,21.49,275444,FAIL,,,FAIL,,,FAIL,,
kevinsawicki/http-request,rv,8.70,382364,FAIL,,,FAIL,,,FAIL,,
mikebrock/jboss-websockets,rv,34.05,578056,106.16,2251632,0,99.89,1962372,0,98.69,2098088,0
ihaolin/wechat,rv,3.75,308856,11.58,643392,2,12.92,632936,2,14.55,640564,2
agapsys/embedded-servlet-container,rv,7.23,272884,12.95,829660,0,15.55,800784,0,14.52,807832,0
rovats/java-utils,rv,2.85,266232,10.19,516436,1,9.64,505728,1,10.29,533480,1
MountCloud/ffmpeg-operate,rv,4.02,260368,13.75,534104,4,15.73,526308,4,14.34,523608,4
520github/fw-parallel-task,rv,32.37,273524,42.76,503324,3,44.20,509264,3,41.12,517028,3
opentracing-contrib/java-concurrent,rv,10.33,236544,13.33,586804,0,9.51,611360,0,9.58,580640,0
sdorra/ldap-unit,rv,18.16,348968,10.06,759924,0,10.27,773412,0,10.56,745888,0
kurbatov/firmata4j,rv,18.16,286232,14.66,592220,0,12.84,593224,0,13.15,589948,0
jiangxincode/SearchEngine,rv,3.49,245760,7.14,531492,2,7.27,522292,2,6.97,528392,2
dubasdey/portable-ftp-server,rv,5.19,272400,13.67,728612,0,12.54,723804,0,FAIL,,
j-easy/easy-flows,rv,18.88,261120,10.12,751652,0,9.07,743244,0,10.96,743276,0
InfoSec812/sonar-auth-google,rv,17.55,427876,FAIL,,,FAIL,,,FAIL,,
javadelight/delight-fileupload,rv,9.36,447200,10.71,623288,0,10.61,621508,0,10.50,597056,0
jclawson/jackson-dataformat-hocon,rv,15.03,248980,13.08,769848,2,16.28,778916,1,14.77,767340,2
dyorgio/cpu-watcher,rv,106.95,606036,99.82,1040244,1,98.52,755020,1,100.30,740092,1
Skullabs/powerlib,rv,14.03,268460,FAIL,,,FAIL,,,FAIL,,
tv2norge-collab/java-serf-client,rv,8.73,253448,FAIL,,,FAIL,,,FAIL,,
buddycloud/buddycloud-server-java,rv,35.56,588948,33.03,1102716,0,20.47,1096360,0,8.63,1090612,0
majusko/grpc-jwt-spring-boot-starter,rv,104.55,394516,164.68,3565944,1,FAIL,,,FAIL,,
NetsOSS/embedded-jetty,rv,30.73,392516,FAIL,,,FAIL,,,FAIL,,
xebia-france/xebia-servlet-extras,rv,4.80,270736,FAIL,,,31.67,767260,13,16.36,757908,13
520github/fw-perf-test,rv,9.84,268112,FAIL,,,16817.97,15551036,0,16882.41,14610632,0
