repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
kevinsawicki/etag-cache,shb,7.69,370960,26.83,1.50,1243020,7,16.81,1.25,1229836,7,14.74,1.61,1243292,7
kevinsawicki/etag-cache,hbepoch,7.64,374336,26.55,1.85,879096,7,16.91,1.20,1221916,7,14.54,1.69,841704,7
xebia-france/xebia-servlet-extras,lockset,6.10,265352,32.54,8.52,818276,267,36.06,3.32,851128,267,22.41,2.82,1276992,267
xebia-france/xebia-servlet-extras,fhb,6.02,301600,35.53,5.36,2694324,6,36.30,2.41,1966124,6,25.26,2.49,1998604,6
xebia-france/xebia-servlet-extras,hbepoch,5.48,268240,32.50,8.66,1265832,118,36.56,3.20,1243112,118,24.48,3.12,1255136,118
kevinsawicki/etag-cache,fhb,10.03,362464,25.26,2.33,1536896,7,17.41,1.45,1426004,7,15.77,2.18,1438920,7
kevinsawicki/etag-cache,shbepoch,14.40,366972,24.43,1.60,776592,7,17.57,1.29,1274716,7,17.29,1.74,770348,7
kevinsawicki/etag-cache,hb,17.51,364648,26.66,1.69,769044,7,20.07,3.16,1227748,7,21.46,1.62,1242828,7
kevinsawicki/etag-cache,goldilocks,7.57,371928,31.78,1.65,2418464,9,24.39,2.12,2438132,10,25.60,1.41,2428576,9
kevinsawicki/etag-cache,lockset,10.04,367396,25.27,10.52,1250364,856,16.35,10.13,1255720,856,18.67,9.81,1244928,856
cilogi/gaeshiro,shbepoch,5.10,275116,18.94,1.79,2508736,3,19.25,1.14,2414224,3,17.66,1.36,2381644,3
cilogi/gaeshiro,lockset,5.16,293584,18.81,1.91,2252624,65,19.06,1.20,2253816,65,17.83,1.32,2488504,65
cilogi/gaeshiro,fhb,5.10,292320,19.94,1.29,2493292,3,19.33,1.07,2639048,3,19.48,1.45,2659500,3
syphr42/prom,shb,2.42,275408,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,goldilocks,1.62,248832,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,fhb,2.35,287880,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,lockset,2.39,285804,FAIL,,,,FAIL,,,,FAIL,,,
cilogi/gaeshiro,hb,4.55,292940,21.17,1.68,2179576,4,22.45,1.23,2246660,4,20.93,1.48,2360964,4
cilogi/gaeshiro,hbepoch,5.24,294888,21.71,2.32,2599852,4,22.82,1.25,2332580,4,20.27,1.24,2363044,4
xebia-france/xebia-servlet-extras,goldilocks,6.70,276448,59.76,3.06,2640544,128,46.47,2.38,2668756,128,41.59,2.06,2657256,128
syphr42/prom,hb,2.41,282880,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,hbepoch,2.35,278176,FAIL,,,,FAIL,,,,FAIL,,,
syphr42/prom,shbepoch,2.47,276604,FAIL,,,,FAIL,,,,FAIL,,,
cilogi/gaeshiro,shb,5.27,291456,24.85,1.67,2404380,3,27.21,1.59,2507248,3,22.93,1.57,2463716,3
syphr42/prom,wcp,1.65,236556,FAIL,,,,FAIL,,,,FAIL,,,
cilogi/gaeshiro,goldilocks,4.25,298744,24.80,1.46,2583920,6,28.45,1.17,2396532,6,25.24,1.19,2490508,6
Ardesco/driver-binary-downloader-maven-plugin,fhb,11.86,335248,FAIL,,,,FAIL,,,,FAIL,,,
Ardesco/driver-binary-downloader-maven-plugin,hbepoch,13.99,331200,FAIL,,,,FAIL,,,,FAIL,,,
PhantomThief/thrift-pool-client,shbepoch,2.52,339056,9.07,0.37,668868,3,9.32,0.42,629924,3,9.37,0.39,635388,3
PhantomThief/thrift-pool-client,hb,2.15,310272,9.79,0.49,629788,7,9.96,0.74,608268,7,9.77,0.48,585816,7
PhantomThief/thrift-pool-client,shb,2.14,306532,9.84,0.45,617372,2,9.75,0.81,589824,3,10.19,0.43,602152,3
PhantomThief/thrift-pool-client,hbepoch,2.14,313344,9.82,0.51,599064,3,9.91,0.76,605212,4,10.14,0.49,595996,4
PhantomThief/thrift-pool-client,lockset,1.84,307048,9.56,0.69,579968,12,9.69,1.01,605200,13,9.95,0.83,595860,13
Ardesco/driver-binary-downloader-maven-plugin,shbepoch,13.21,332872,FAIL,,,,FAIL,,,,FAIL,,,
PhantomThief/thrift-pool-client,wcp,1.77,313344,10.50,0.52,1325068,7,10.69,0.55,1344768,7,10.57,0.52,1324088,8
hackingwu/Java-Promise,hb,5.14,261680,9.63,0.26,383396,6,9.60,0.22,399744,6,9.67,0.20,409608,6
PhantomThief/thrift-pool-client,goldilocks,1.78,310176,11.11,0.75,660520,12,10.81,0.69,663560,12,10.94,0.75,685084,12
