repo,alg,base_rt,base_mem,rt1,mem1,races1,rt2,mem2,races2,rt3,mem3,races3
xebia-france/xebia-servlet-extras,rv,6.87,274164,35.64,743792,13,16.64,784156,13,16.86,766816,13
kevinsawicki/etag-cache,rv,6.91,340552,14.05,798672,5,11.42,816896,5,11.43,807972,5
Ardesco/driver-binary-downloader-maven-plugin,rv,11.35,319004,FAIL,,,FAIL,,,FAIL,,
cilogi/gaeshiro,rv,4.90,293152,11.61,1192472,0,10.03,1214496,0,10.23,1223196,0
syphr42/prom,rv,2.16,285848,FAIL,,,FAIL,,,FAIL,,
m-czernek/acrobot,rv,14.86,533456,40.95,3849572,2,39.58,3795064,7,40.59,3883780,12
hackingwu/Java-Promise,rv,6.15,259756,14.85,509356,1,14.94,502804,1,16.27,505756,1
jalpedersen/jetty-hazelcast,rv,4.09,263940,11.39,814388,0,11.24,789788,0,10.86,793040,0
zman2013/scuttlebutt,rv,4.43,336260,9.80,752668,10,9.47,742184,14,9.24,751312,21
vbauer/herald,rv,8.13,362344,FAIL,,,FAIL,,,FAIL,,
Azure-Samples/cassandra-proxy,rv,2.91,313172,12.56,758456,0,11.26,755484,0,11.58,760348,0
zhanyeye/DesSim,rv,5.66,305104,13.16,742720,62,10.47,774640,58,11.00,754068,60
buddycloud/channel-directory,rv,3.84,295980,FAIL,,,FAIL,,,FAIL,,
VaughnVernon/mockroservices-java,rv,4.77,261260,13.12,640516,7,13.27,631036,7,13.10,632904,7
PhantomThief/thrift-pool-client,rv,2.08,347156,70.15,1013664,0,70.46,1032320,0,69.83,1061252,0
agapsys/embedded-servlet-container,rv,2.44,245760,11.06,792636,0,11.86,772256,0,9.90,755200,0
ihaolin/wechat,rv,3.68,233472,9.94,617476,2,11.26,586496,2,9.87,589868,2
rbuck/java-retry,rv,26.98,230400,96.56,1010480,0,95.10,1350936,0,96.72,1151160,0
kevinsawicki/http-request,rv,3.81,357808,FAIL,,,FAIL,,,FAIL,,
rovats/java-utils,rv,1.45,294588,6.58,549900,1,6.83,551496,1,6.82,529088,1
mikebrock/jboss-websockets,rv,32.08,576636,100.57,2451228,0,102.08,2266608,0,100.38,2503892,0
MountCloud/ffmpeg-operate,rv,3.34,260912,10.33,537356,4,10.16,530852,4,10.16,524144,4
520github/fw-parallel-task,rv,31.62,269832,37.76,511004,3,37.29,490900,3,37.69,520864,3
sdorra/ldap-unit,rv,3.75,351744,12.02,753032,0,12.01,766340,0,24.08,1359092,0
opentracing-contrib/java-concurrent,rv,8.04,288900,12.70,586276,0,12.56,608932,0,12.73,630576,0
kurbatov/firmata4j,rv,4.74,284720,10.71,595136,0,10.58,597700,0,10.21,611876,0
dubasdey/portable-ftp-server,rv,1.72,262388,8.71,703124,0,8.93,735872,0,FAIL,,
InfoSec812/sonar-auth-google,rv,3.26,378740,FAIL,,,FAIL,,,FAIL,,
j-easy/easy-flows,rv,5.34,302052,14.97,768432,0,13.51,771848,0,13.61,786536,0
javadelight/delight-fileupload,rv,2.78,426224,8.26,562220,0,FAIL,,,11.19,582396,0
jclawson/jackson-dataformat-hocon,rv,3.20,224256,9.04,730504,1,9.09,739892,1,9.12,746468,1
buddycloud/buddycloud-server-java,rv,7.94,625496,13.91,1108616,0,12.93,1125940,0,12.13,1123796,0
Skullabs/powerlib,rv,5.89,275820,FAIL,,,FAIL,,,FAIL,,
tv2norge-collab/java-serf-client,rv,1.71,269328,FAIL,,,FAIL,,,FAIL,,
dyorgio/cpu-watcher,rv,85.23,549196,100.11,722808,1,99.59,743712,1,101.64,967532,1
majusko/grpc-jwt-spring-boot-starter,rv,8.55,432344,60.75,3675788,1,62.21,3408208,1,FAIL,,
NetsOSS/embedded-jetty,rv,3.15,364084,FAIL,,,FAIL,,,FAIL,,
jiangxincode/SearchEngine,rv,2.15,295060,FAIL,,,FAIL,,,12.33,548976,2
520github/fw-perf-test,rv,1.82,271092,11981.26,22259800,0,11734.22,19465572,0,14124.77,22903592,0
