repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
rbuck/java-retry,wcp,36.69,261104,53.96,0.38,401408,12,31.61,0.73,405300,12,39.00,0.27,403824,12
rbuck/java-retry,syncp,36.35,260324,54.82,0.72,652468,8,31.10,0.29,664576,8,39.31,0.24,645312,8
rbuck/java-retry,goldilocks,36.33,259928,45.43,7.39,423140,14,36.60,1.96,409340,14,36.65,0.39,400668,14
hackingwu/Java-Promise,goldilocks,6.38,264736,13.53,0.74,400728,6,12.95,0.33,388740,6,13.56,0.31,385608,6
syphr42/prom,lockset,7.37,236544,FAIL,,,,FAIL,,,,FAIL,,,
mikebrock/jboss-websockets,goldilocks,33.71,462392,45.21,1.09,687024,13,38.52,3.22,688508,13,38.46,3.25,684360,10
hackingwu/Java-Promise,fhb,12.54,247776,16.44,0.26,382884,2,10.08,0.22,371056,2,10.35,0.21,382376,2
mikebrock/jboss-websockets,shbepoch,33.84,565276,50.57,4.32,680764,8,36.09,4.11,678088,12,44.01,5.65,678388,7
cilogi/gaeshiro,goldilocks,52.81,284724,62.99,3.58,1838188,6,56.83,3.07,3111872,6,57.28,3.60,3012036,6
mikebrock/jboss-websockets,fhb,34.05,577116,52.79,4.89,729672,5,38.35,4.31,731696,7,45.32,4.83,714912,7
mikebrock/jboss-websockets,lockset,33.70,576008,50.21,6.00,806180,17,39.37,5.68,808656,14,40.74,14.21,748520,43
cilogi/gaeshiro,shbepoch,46.71,311660,22.59,2.81,2252712,3,32.24,1.19,2286764,3,19.19,1.20,2398640,3
zman2013/scuttlebutt,hbepoch,9.49,351712,20.71,1.50,3027524,28,29.46,1.68,3060088,28,29.38,1.05,3118792,27
mikebrock/jboss-websockets,hbepoch,32.59,577692,47.47,4.45,689772,7,37.98,32.94,698040,7,47.92,16.72,705184,7
zman2013/scuttlebutt,shb,9.46,372440,21.77,2.03,2027376,12,32.27,2.10,2986084,15,31.28,2.52,2869076,12
Ardesco/driver-binary-downloader-maven-plugin,fhb,26.19,346344,FAIL,,,,FAIL,,,,FAIL,,,
mikebrock/jboss-websockets,shb,33.60,565248,58.26,5.78,694964,7,42.75,5.00,678560,10,43.28,5.80,676788,12
cilogi/gaeshiro,lockset,48.77,269948,23.34,1.98,2221060,43,31.42,1.39,2411000,43,20.42,1.33,2297916,65
cilogi/gaeshiro,wcp,47.61,269984,84.04,1.14,25356280,9,77.04,1.71,25885392,9,67.72,4.93,21202216,9
zman2013/scuttlebutt,hb,9.41,369024,25.76,1.56,2361740,26,33.96,1.45,2158132,27,36.15,2.61,2651068,34
zman2013/scuttlebutt,fhb,9.26,322560,26.79,1.72,1884108,7,34.96,1.86,2816884,10,42.11,3.03,3075888,7
zman2013/scuttlebutt,lockset,9.53,325632,25.62,2.61,1639896,95,34.06,1.74,1813176,95,43.41,3.18,1850300,97
zman2013/scuttlebutt,wcp,9.44,362308,30.35,1.45,5593268,30,38.66,1.66,6354668,30,37.81,1.09,5605932,32
zman2013/scuttlebutt,shbepoch,9.46,349064,30.84,2.17,1800404,14,37.53,2.39,1922956,18,38.09,1.47,1685760,12
zman2013/scuttlebutt,goldilocks,9.48,328556,32.97,3.63,2275048,31,35.63,3.18,1730908,32,37.79,1.55,1764388,32
Ardesco/driver-binary-downloader-maven-plugin,hbepoch,22.29,324156,FAIL,,,,FAIL,,,,FAIL,,,
rbuck/java-retry,hb,36.20,317912,50.55,2.38,412880,12,33.77,0.59,395372,12,39.62,0.28,416632,12
VaughnVernon/mockroservices-java,hbepoch,7.08,243696,27.32,0.61,669644,8,15.34,0.62,672664,8,15.58,0.62,682540,8
VaughnVernon/mockroservices-java,fhb,4.47,261252,13.64,0.65,724752,5,14.03,0.63,706932,5,13.51,0.64,723328,5
VaughnVernon/mockroservices-java,hb,5.39,264124,35.72,2.08,681092,8,17.87,1.30,693400,8,18.20,1.31,685952,8
VaughnVernon/mockroservices-java,shbepoch,5.21,261436,19.18,0.96,699328,5,19.99,0.93,688024,5,18.89,0.92,676440,5
VaughnVernon/mockroservices-java,lockset,4.98,268968,19.32,1.04,696800,13,20.09,1.05,698752,13,19.35,1.05,704572,13
zhanyeye/DesSim,shbepoch,14.70,303480,46.99,4.62,691160,41,27.78,3.46,688160,74,34.12,5.34,684036,68
