RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
hackingwu/Java-Promise,137,0,27,9,62,1,4,7,2889,247,55.50%,0.00%,10.90%,3.60%,25.10%,0.40%,1.60%,2.80%
pf4j/pf4j-update,254,36,48,8,57,2,369,6,2091,780,32.60%,4.60%,6.20%,1.00%,7.30%,0.30%,47.30%,0.80%
kevinsawicki/etag-cache,326,21,88,17,256,3,192,4,1797,907,35.90%,2.30%,9.70%,1.90%,28.20%,0.30%,21.20%,0.40%
googleads/adwords-scripts-linkchecker,1369,370,461,20,70,0,496,84,153651,2870,47.70%,12.90%,16.10%,0.70%,2.40%,0.00%,17.30%,2.90%
xebia-france/xebia-servlet-extras,531,39,150,19,198,6,474,3,2791,1420,37.40%,2.70%,10.60%,1.30%,13.90%,0.40%,33.40%,0.20%
taksan/skype-java-api,277,14,70,35,998,0,63,7,28282,1464,18.90%,1.00%,4.80%,2.40%,68.20%,0.00%,4.30%,0.50%
twilio/authy-java,670,495,1290,84,115,0,1531,50,6486,4235,15.80%,11.70%,30.50%,2.00%,2.70%,0.00%,36.20%,1.20%
lialun/EasyCache,560,51,206,14,79,1,200,1086,13939,2197,25.50%,2.30%,9.40%,0.60%,3.60%,0.00%,9.10%,49.40%
seaswalker/netty-wheel,166,6,27,8,28,0,7368,28,15843,7631,2.20%,0.10%,0.40%,0.10%,0.40%,0.00%,96.60%,0.40%
m-czernek/acrobot,2612,330,295,33,112,4,1409,10,24436,4805,54.40%,6.90%,6.10%,0.70%,2.30%,0.10%,29.30%,0.20%
jalpedersen/jetty-hazelcast,579,49,72,16,53,0,244,15,6337,1028,56.30%,4.80%,7.00%,1.60%,5.20%,0.00%,23.70%,1.50%
kristofa/mock-http-server,370,79,204,13,30,0,334,19,5800,1049,35.30%,7.50%,19.40%,1.20%,2.90%,0.00%,31.80%,1.80%
gturri/aXMLRPC,1500,209,328,28,449,2,1289,17,10599,3822,39.20%,5.50%,8.60%,0.70%,11.70%,0.10%,33.70%,0.40%
cogroo/cogroo4,1213,2285,13382,10,8,2,901,26,153282,17827,6.80%,12.80%,75.10%,0.10%,0.00%,0.00%,5.10%,0.10%
kabutz/striped-executor-service,195,79,534,111,795,0,497,89,48376,2300,8.50%,3.40%,23.20%,4.80%,34.60%,0.00%,21.60%,3.90%
draeger-lab/EscherConverter,1188,45855,69240,7,10,0,10381,106,1271798,126787,0.90%,36.20%,54.60%,0.00%,0.00%,0.00%,8.20%,0.10%
VaughnVernon/mockroservices-java,136,21,50,12,70,2,37,4,5191,332,41.00%,6.30%,15.10%,3.60%,21.10%,0.60%,11.10%,1.20%
jitsi/otr4j,580,700,658,14,84,3,368,6,7358,2413,24.00%,29.00%,27.30%,0.60%,3.50%,0.10%,15.30%,0.20%
RuntimeTools/javametrics,186,12,49,13,199,3,65,4,31523,531,35.00%,2.30%,9.20%,2.40%,37.50%,0.60%,12.20%,0.80%
yangfuhai/jboot,1718,622,174,14,304,3,1598,21,4858,4454,38.60%,14.00%,3.90%,0.30%,6.80%,0.10%,35.90%,0.50%
mlieshoff/jcrapi,540,800,4561,10,128,0,866,11,59925,6916,7.80%,11.60%,65.90%,0.10%,1.90%,0.00%,12.50%,0.20%
Terracotta-OSS/ipc-eventbus,220,60,62,29,275,2,10066,8,15753,10722,2.10%,0.60%,0.60%,0.30%,2.60%,0.00%,93.90%,0.10%
vidstige/jadb,337,41,40,11,49,3,511,1,1110,993,33.90%,4.10%,4.00%,1.10%,4.90%,0.30%,51.50%,0.10%
fleipold/jproc,102,118,98,11,16,0,3711,0,7093,4056,2.50%,2.90%,2.40%,0.30%,0.40%,0.00%,91.50%,0.00%
sahan/ZombieLink,1795,2061,3536,125,900,0,5450,98,28181,13965,12.90%,14.80%,25.30%,0.90%,6.40%,0.00%,39.00%,0.70%
sndyuk/logback-more-appenders,1507,270,1011,14,34,2,746,11,19716,3595,41.90%,7.50%,28.10%,0.40%,0.90%,0.10%,20.80%,0.30%
PvdBerg1998/PNet,246,268,1341,12,84,1,1558,2,10063,3512,7.00%,7.60%,38.20%,0.30%,2.40%,0.00%,44.40%,0.10%
hazelcast/hazelcast-azure,1054,453,718,36,109,0,1305,33,8190,3708,28.40%,12.20%,19.40%,1.00%,2.90%,0.00%,35.20%,0.90%
ccidral/tomighty,654,79,53,9,17,0,201,4,2787,1017,64.30%,7.80%,5.20%,0.90%,1.70%,0.00%,19.80%,0.40%
520github/fw-parallel-task,46,1,14,2,10,1,11,4,46195,89,51.70%,1.10%,15.70%,2.20%,11.20%,1.10%,12.40%,4.50%
jalkanen/speed4j,115,485,2250,395,8689,3,2270,5,1097110,14212,0.80%,3.40%,15.80%,2.80%,61.10%,0.00%,16.00%,0.00%
matthewhorridge/binaryowl,1394,139,672,15,90,3,366,3,3277,2682,52.00%,5.20%,25.10%,0.60%,3.40%,0.10%,13.60%,0.10%
buddycloud/channel-directory,1278,126,382,25,63,0,365,7,14168,2246,56.90%,5.60%,17.00%,1.10%,2.80%,0.00%,16.30%,0.30%
soot-oss/heros,800,256,184,16,108,0,322,10,2278,1696,47.20%,15.10%,10.80%,0.90%,6.40%,0.00%,19.00%,0.60%
maestrano/maestrano-java,304,29,77,9,26,2,239,2,1426,688,44.20%,4.20%,11.20%,1.30%,3.80%,0.30%,34.70%,0.30%
zeroturnaround/zt-process-killer,171,10,47,14,16,0,97,5,54577,360,47.50%,2.80%,13.10%,3.90%,4.40%,0.00%,26.90%,1.40%
Sable/heros,286,95,51,7,33,0,133,3,769,608,47.00%,15.60%,8.40%,1.20%,5.40%,0.00%,21.90%,0.50%
elisarver/selophane,536,260,736,6,36,3,179,113,4585,1869,28.70%,13.90%,39.40%,0.30%,1.90%,0.20%,9.60%,6.00%
blackdoor/blackdoor,76,6,13,5,6,1,56,2,198,165,46.10%,3.60%,7.90%,3.00%,3.60%,0.60%,33.90%,1.20%
gilbutITbook/006955,572,8,39,14,35,4,56,6,14669,734,77.90%,1.10%,5.30%,1.90%,4.80%,0.50%,7.60%,0.80%
graylog-labs/log4j2-gelf,641,34,41,6,11,4,147,6,3443,890,72.00%,3.80%,4.60%,0.70%,1.20%,0.40%,16.50%,0.70%
anomalizer/tungsten-fsm,246,25,51,17,19,0,19,5,2658,382,64.40%,6.50%,13.40%,4.50%,5.00%,0.00%,5.00%,1.30%
salyh/javamail-mock2,191,27,54,5,7,0,84,0,1003,368,51.90%,7.30%,14.70%,1.40%,1.90%,0.00%,22.80%,0.00%
coolstuffsoftware/owncloud-spring-boot-starter,52125,7507,6789,189,374,29,6403,1517,110168,74933,69.60%,10.00%,9.10%,0.30%,0.50%,0.00%,8.50%,2.00%
jasminb/jsonapi-converter,1573,461,258,20,89,0,739,514,7552,3654,43.00%,12.60%,7.10%,0.50%,2.40%,0.00%,20.20%,14.10%
brutusin/commons,94,10,71,61,110,2,15,30,9044,393,23.90%,2.50%,18.10%,15.50%,28.00%,0.50%,3.80%,7.60%
ihaolin/wechat,139,0,15,9,10,1,11,11,2085,196,70.90%,0.00%,7.70%,4.60%,5.10%,0.50%,5.60%,5.60%
ohioit/rundeck-http-plugin,1266,2650,11098,233,117,0,9688,146,94452,25198,5.00%,10.50%,44.00%,0.90%,0.50%,0.00%,38.40%,0.60%
darcy-framework/synq,251,14,50,6,24,1,78,0,2430,424,59.20%,3.30%,11.80%,1.40%,5.70%,0.20%,18.40%,0.00%
bingoohuang/logback-more-appenders,368,55,87,11,12,0,148,15,19511,696,52.90%,7.90%,12.50%,1.60%,1.70%,0.00%,21.30%,2.20%
agapsys/embedded-servlet-container,407,62,87,13,30,0,222,3,1461,824,49.40%,7.50%,10.60%,1.60%,3.60%,0.00%,26.90%,0.40%
named-data/jndn,268,211,422,4,24,5,183,2,1411,1119,23.90%,18.90%,37.70%,0.40%,2.10%,0.40%,16.40%,0.20%
rovats/java-utils,103,4,16,10,53,0,3,9,227,198,52.00%,2.00%,8.10%,5.10%,26.80%,0.00%,1.50%,4.50%
spotify/async-datastore-client,627,53,62,3,5,1,233,5,1811,989,63.40%,5.40%,6.30%,0.30%,0.50%,0.10%,23.60%,0.50%
ModeShape/modeshape-examples,3797,277,500,56,12,2,1507,118,17826,6269,60.60%,4.40%,8.00%,0.90%,0.20%,0.00%,24.00%,1.90%
MountCloud/ffmpeg-operate,113,3,17,8,19,1,90,0,1391,251,45.00%,1.20%,6.80%,3.20%,7.60%,0.40%,35.90%,0.00%
probedock/probedock-demo-junit,273,12,38,10,41,1,1,13,556,389,70.20%,3.10%,9.80%,2.60%,10.50%,0.30%,0.30%,3.30%
dyorgio/cpu-watcher,171,311,913,8,23,1,530,2,46711,1959,8.70%,15.90%,46.60%,0.40%,1.20%,0.10%,27.10%,0.10%
datasift/datasift-java,837,240,776,25,373,5,393,16,9203,2665,31.40%,9.00%,29.10%,0.90%,14.00%,0.20%,14.70%,0.60%
metamx/emitter,511,587,5233,1077,59735,3,480,6,1144031,67632,0.80%,0.90%,7.70%,1.60%,88.30%,0.00%,0.70%,0.00%
binance/binance-futures-connector-java,1485,312,2062,173,3151,0,3716,770139,481075,781038,0.20%,0.00%,0.30%,0.00%,0.40%,0.00%,0.50%,98.60%
opentracing-contrib/java-concurrent,93,11,63,24,39,0,39,6,4631,275,33.80%,4.00%,22.90%,8.70%,14.20%,0.00%,14.20%,2.20%
Bernardo-MG/repository-pattern-java,534,65,89,22,29,6,2,34,2294,781,68.40%,8.30%,11.40%,2.80%,3.70%,0.80%,0.30%,4.40%
javacamp2022/pizza-lab,1518,166,222,13,32,2,692,9,5723,2654,57.20%,6.30%,8.40%,0.50%,1.20%,0.10%,26.10%,0.30%
jiangxincode/SearchEngine,190,8,33,12,16,1,14,3,703,277,68.60%,2.90%,11.90%,4.30%,5.80%,0.40%,5.10%,1.10%
spring-projects/spring-analytics,2887,1063,340,23,41,3,525,140,18499,5022,57.50%,21.20%,6.80%,0.50%,0.80%,0.10%,10.50%,2.80%
rhwayfun/spring-boot-rocketmq-starter,812,96,172,18,103,4,516,43,12069,1764,46.00%,5.40%,9.80%,1.00%,5.80%,0.20%,29.30%,2.40%
dubasdey/portable-ftp-server,466,5,38,13,19,0,94,16,790,651,71.60%,0.80%,5.80%,2.00%,2.90%,0.00%,14.40%,2.50%
jillesvangurp/spring-depend,552,80,65,8,28,3,103,206,4286,1045,52.80%,7.70%,6.20%,0.80%,2.70%,0.30%,9.90%,19.70%
triologygmbh/reCAPTCHA-V2-java,912,138,132,15,33,0,1036,19,4610,2285,39.90%,6.00%,5.80%,0.70%,1.40%,0.00%,45.30%,0.80%
amazon-archives/dynamodb-key-diagnostics-library,2276,830,305,12,18,4,1001,14,6515,4460,51.00%,18.60%,6.80%,0.30%,0.40%,0.10%,22.40%,0.30%
Skullabs/powerlib,136,3,15,5,7,1,620,2,1359,789,17.20%,0.40%,1.90%,0.60%,0.90%,0.10%,78.60%,0.30%
javadelight/delight-fileupload,149,3,7,0,0,0,34,1,761,194,76.80%,1.50%,3.60%,0.00%,0.00%,0.00%,17.50%,0.50%
tv2norge-collab/java-serf-client,95,2,24,7,4,2,7,0,277,141,67.40%,1.40%,17.00%,5.00%,2.80%,1.40%,5.00%,0.00%
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,300,10,105,9,8,4,65,7,2554,508,59.10%,2.00%,20.70%,1.80%,1.60%,0.80%,12.80%,1.40%
Scout24/yum-repo-server,4406,1399,1160,14,16,0,6556,28,92257,13579,32.40%,10.30%,8.50%,0.10%,0.10%,0.00%,48.30%,0.20%
gondor/kbop,292,124,121,58,1947,3,32,23,21512,2600,11.20%,4.80%,4.70%,2.20%,74.90%,0.10%,1.20%,0.90%
alexvictoor/netty-livereload,301,12,57,9,16,4,191,7,5980,597,50.40%,2.00%,9.50%,1.50%,2.70%,0.70%,32.00%,1.20%
jclawson/hazeltask,338,875,13674,544,54,1,489,16,97603,15991,2.10%,5.50%,85.50%,3.40%,0.30%,0.00%,3.10%,0.10%
audit4j/audit4j-core,389,1029,1713,29,40,0,467,22,381001,3689,10.50%,27.90%,46.40%,0.80%,1.10%,0.00%,12.70%,0.60%
bingo-oss/sso-client,827,526,927,25,93,0,2768,33,6614,5199,15.90%,10.10%,17.80%,0.50%,1.80%,0.00%,53.20%,0.60%
javadev/jasper-xml-to-pdf-generator,1111,1094,639,9,9,1,1283,39,4649,4185,26.50%,26.10%,15.30%,0.20%,0.20%,0.00%,30.70%,0.90%
buddycloud/buddycloud-server-java,990,4506,12398,20,8,1,1918,6,52421,19847,5.00%,22.70%,62.50%,0.10%,0.00%,0.00%,9.70%,0.00%
brutusin/json-provider,520,166,226,14,145,5,181,3,26373,1260,41.30%,13.20%,17.90%,1.10%,11.50%,0.40%,14.40%,0.20%
undera/perfmon-agent,409,14,37,0,0,0,298,1,2315,759,53.90%,1.80%,4.90%,0.00%,0.00%,0.00%,39.30%,0.10%
jclawson/jackson-dataformat-hocon,141,15,41,2,4,1,47,0,1346,251,56.20%,6.00%,16.30%,0.80%,1.60%,0.40%,18.70%,0.00%
soulgalore/jdbcmetrics,665,189,452,16,16,2,197,3,7034,1540,43.20%,12.30%,29.40%,1.00%,1.00%,0.10%,12.80%,0.20%
NetsOSS/embedded-jetty,594,32,65,19,18,2,303,6,1488,1039,57.20%,3.10%,6.30%,1.80%,1.70%,0.20%,29.20%,0.60%
joestelmach/natty,377,1027,831,2,3,0,340,12,3485,2592,14.50%,39.60%,32.10%,0.10%,0.10%,0.00%,13.10%,0.50%
mdewilde/podcast-parser,789,905,18606,11,7,4,442,9,64679,20773,3.80%,4.40%,89.60%,0.10%,0.00%,0.00%,2.10%,0.00%
dadiyang/wechat-client,1001,219,323,21,106,2,743,51,4862,2466,40.60%,8.90%,13.10%,0.90%,4.30%,0.10%,30.10%,2.10%
liuziyuan/retrofit-spring-boot-starter,3423,1156,686,14,32,2,344,255,8844,5912,57.90%,19.60%,11.60%,0.20%,0.50%,0.00%,5.80%,4.30%
Bernardo-MG/java-patterns,580,50,117,14,18,4,221,19,3726,1023,56.70%,4.90%,11.40%,1.40%,1.80%,0.40%,21.60%,1.90%
SonarSource/sonar-auth-bitbucket,759,79,99,9,13,0,350,355,2067,1664,45.60%,4.70%,5.90%,0.50%,0.80%,0.00%,21.00%,21.30%
opentracing-contrib/java-grpc,3140,88,303,57,633,0,560,82,25632,4863,64.60%,1.80%,6.20%,1.20%,13.00%,0.00%,11.50%,1.70%
googlegenomics/utils-java,1257,617,498,29,821,0,81872,15,91954,85109,1.50%,0.70%,0.60%,0.00%,1.00%,0.00%,96.20%,0.00%
phylogeography/SPREAD,212,2860,4874,6,6,1,1566,13,15879,9538,2.20%,30.00%,51.10%,0.10%,0.10%,0.00%,16.40%,0.10%
caelum/vraptor4,1631,3805,8004,718,202,1,1287,639,200032,16287,10.00%,23.40%,49.10%,4.40%,1.20%,0.00%,7.90%,3.90%
bingoohuang/westid,678,757,1261,6,8,2,442,177,14491,3331,20.40%,22.70%,37.90%,0.20%,0.20%,0.10%,13.30%,5.30%
monkeymq/jgossip,667,22,68,7,22,3,321,5,6577,1115,59.80%,2.00%,6.10%,0.60%,2.00%,0.30%,28.80%,0.40%
alb-i986/selenium-tinafw,1411,88,79,9,12,3,584,2,11359,2188,64.50%,4.00%,3.60%,0.40%,0.50%,0.10%,26.70%,0.10%
chyxion/table-to-xls,1197,331,620,29,328,0,679,3,9635,3187,37.60%,10.40%,19.50%,0.90%,10.30%,0.00%,21.30%,0.10%
pascalgn/jiracli,913,424,279,4,5,2,893,9,9056,2529,36.10%,16.80%,11.00%,0.20%,0.20%,0.10%,35.30%,0.40%
wakaleo/maven-schemaspy-plugin,1447,898,1022,22,14,1,5377,18,69256,8799,16.40%,10.20%,11.60%,0.30%,0.20%,0.00%,61.10%,0.20%
OrderLab/OKLib,207,3213,14377,454,26131,2,276,46,88390,44706,0.50%,7.20%,32.20%,1.00%,58.50%,0.00%,0.60%,0.10%
ctapweb/AutoSubClause,843,1558,460,8,99,2,388,123,11199,3481,24.20%,44.80%,13.20%,0.20%,2.80%,0.10%,11.10%,3.50%
couchbaselabs/couchbase-capi-server,878,196,731,64,1084,3,920,26,9390,3902,22.50%,5.00%,18.70%,1.60%,27.80%,0.10%,23.60%,0.70%
cilogi/gaeshiro,1837,119,122,12,81,0,378,68,7718,2617,70.20%,4.50%,4.70%,0.50%,3.10%,0.00%,14.40%,2.60%
castagna/SARQ,979,303,518,20,307,0,916,38,7271,3081,31.80%,9.80%,16.80%,0.60%,10.00%,0.00%,29.70%,1.20%
sylvainlaurent/swagger-validator-maven-plugin,1862,1488,295,9,20,0,764,29,22442,4467,41.70%,33.30%,6.60%,0.20%,0.40%,0.00%,17.10%,0.60%
syphr42/prom,526,21,79,21,215,0,122,4,2191,988,53.20%,2.10%,8.00%,2.10%,21.80%,0.00%,12.30%,0.40%
fusepoolP3/p3-transformer-library,1738,406,2302,87,667,3,3605,14,286341,8822,19.70%,4.60%,26.10%,1.00%,7.60%,0.00%,40.90%,0.20%
softlayer/softlayer-java,727,88,42,8,15,3,333,3,3692,1219,59.60%,7.20%,3.40%,0.70%,1.20%,0.20%,27.30%,0.20%
ashenwgt/awesome-bdd-with-cucumber,556,97,67,10,6,0,0,238,10461,974,57.10%,10.00%,6.90%,1.00%,0.60%,0.00%,0.00%,24.40%
spotify/hadoop-openpgp-codec,508,110,222,12,20,0,61,10,1471,943,53.90%,11.70%,23.50%,1.30%,2.10%,0.00%,6.50%,1.10%
osinka/camel-beanstalk,992,326,400,39,547,4,432,24,25045,2764,35.90%,11.80%,14.50%,1.40%,19.80%,0.10%,15.60%,0.90%
InfoSec812/sonar-auth-google,456,32,84,10,8,0,262,377,2705,1229,37.10%,2.60%,6.80%,0.80%,0.70%,0.00%,21.30%,30.70%
magdel/MapNav,334,161,3056,9,0,0,149,1,8055,3710,9.00%,4.30%,82.40%,0.20%,0.00%,0.00%,4.00%,0.00%
99soft/guartz,622,103,139,16,75,3,160,4,69596,1122,55.40%,9.20%,12.40%,1.40%,6.70%,0.30%,14.30%,0.40%
amzn/amazon-instant-access-sdk-java,1745,167,148,24,194,3,910,12,5203,3203,54.50%,5.20%,4.60%,0.70%,6.10%,0.10%,28.40%,0.40%
dropwizard-bundles/dropwizard-configurable-assets-bundle,2361,181,884,75,339,3,663,11,8934,4517,52.30%,4.00%,19.60%,1.70%,7.50%,0.10%,14.70%,0.20%
Ardesco/driver-binary-downloader-maven-plugin,2315,257,288,28,370,3,1326,13,10482,4600,50.30%,5.60%,6.30%,0.60%,8.00%,0.10%,28.80%,0.30%
jrkinley/flume-interceptor-analytics,283,22,91,6,6,2,71,0,47857,481,58.80%,4.60%,18.90%,1.20%,1.20%,0.40%,14.80%,0.00%
uniform-java/uniform,166,129,65,7,6,0,181,7,1419,561,29.60%,23.00%,11.60%,1.20%,1.10%,0.00%,32.30%,1.20%
tinkerpop/furnace,159,1203,1037,145,33,0,111,22,1748,2710,5.90%,44.40%,38.30%,5.40%,1.20%,0.00%,4.10%,0.80%
avarabyeu/restendpoint,1435,222,393,33,1147,0,587,9832,55565,13649,10.50%,1.60%,2.90%,0.20%,8.40%,0.00%,4.30%,72.00%
Mercateo/rest-hateoas-client,606,164,248,15,41,4,199,13,5572,1290,47.00%,12.70%,19.20%,1.20%,3.20%,0.30%,15.40%,1.00%
jboss/jboss-jstl-api_spec,513,69,69,0,0,0,197,2,966,850,60.40%,8.10%,8.10%,0.00%,0.00%,0.00%,23.20%,0.20%
jbarrez/activiti-neo4j,662,196,278,19,43,2,240,21,10526,1461,45.30%,13.40%,19.00%,1.30%,2.90%,0.10%,16.40%,1.40%
pebbleblog/pebble,3385,342,252,7,5,5,4123,5,39099,8124,41.70%,4.20%,3.10%,0.10%,0.10%,0.10%,50.80%,0.10%
proofpoint/cloud-management,1440,353,494,30,39,2,1333,19,104320,3710,38.80%,9.50%,13.30%,0.80%,1.10%,0.10%,35.90%,0.50%
wouterd/docker-maven-plugin,438,103,184,4,8,2,218,4,3252,961,45.60%,10.70%,19.10%,0.40%,0.80%,0.20%,22.70%,0.40%
davidmoten/rxjava-jdbc,1526,1292,1067,24,118,4,1114,23,47682,5168,29.50%,25.00%,20.60%,0.50%,2.30%,0.10%,21.60%,0.40%
ChannelApe/shopify-sdk,1334,1946,6352,400,4542,3,4198,67,33899,18842,7.10%,10.30%,33.70%,2.10%,24.10%,0.00%,22.30%,0.40%
googlegenomics/dataflow-java,3611,3113,7751,97,2503,4,1407,796,163383,19282,18.70%,16.10%,40.20%,0.50%,13.00%,0.00%,7.30%,4.10%
purecloudlabs/elasticsearch-lambda,647,145,132,20,249,4,208,11,9173,1416,45.70%,10.20%,9.30%,1.40%,17.60%,0.30%,14.70%,0.80%
offbynull/portmapper,241,48,32,8,15,0,487,1,1707,832,29.00%,5.80%,3.80%,1.00%,1.80%,0.00%,58.50%,0.10%
Azure-Samples/cassandra-proxy,268,13,30,5,13,0,88,0,632,417,64.30%,3.10%,7.20%,1.20%,3.10%,0.00%,21.10%,0.00%
zman2013/scuttlebutt,511,22,32,7,63,5,117,10,871,767,66.60%,2.90%,4.20%,0.90%,8.20%,0.70%,15.30%,1.30%
sdorra/ldap-unit,202,20,43,6,6,0,46,1,361,324,62.30%,6.20%,13.30%,1.90%,1.90%,0.00%,14.20%,0.30%
j-easy/easy-flows,292,18,20,3,1,0,84,3,476,421,69.40%,4.30%,4.80%,0.70%,0.20%,0.00%,20.00%,0.70%
arquillian/arquillian-container-openshift,364,34,26,6,4,0,63,5,802,502,72.50%,6.80%,5.20%,1.20%,0.80%,0.00%,12.50%,1.00%
imagej/example-script-collection,1457,77,37,4,17,2,0,131,2836,1725,84.50%,4.50%,2.10%,0.20%,1.00%,0.10%,0.00%,7.60%
ronmamo/reflections,170,79,87,6,2,0,97,3,627,444,38.30%,17.80%,19.60%,1.40%,0.50%,0.00%,21.80%,0.70%
vbauer/herald,358,41,57,5,89,2,189,2,934,743,48.20%,5.50%,7.70%,0.70%,12.00%,0.30%,25.40%,0.30%
uia4j/uia-sim,370,54,666,62,1161,6,222,5,16280,2546,14.50%,2.10%,26.20%,2.40%,45.60%,0.20%,8.70%,0.20%
spotify/trickle,293,52,39,8,45,0,42,9,595,488,60.00%,10.70%,8.00%,1.60%,9.20%,0.00%,8.60%,1.80%
davidmoten/rxjava-file,341,124,124,9,95,2,68,23,13968,786,43.40%,15.80%,15.80%,1.10%,12.10%,0.30%,8.70%,2.90%
neo4j/license-maven-plugin,134,72,163,16,148,3,67,6,1221,609,22.00%,11.80%,26.80%,2.60%,24.30%,0.50%,11.00%,1.00%
GoogleCloudPlatform/appengine-angular-guestbook-java,333,43,41,4,2,0,188,21,1112,632,52.70%,6.80%,6.50%,0.60%,0.30%,0.00%,29.70%,3.30%
gwtplus/google-gin,0,0,0,0,0,0,25664,0,0,25664,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
majusko/grpc-jwt-spring-boot-starter,824,149,82,5,8,0,80,29,27872,1177,70.00%,12.70%,7.00%,0.40%,0.70%,0.00%,6.80%,2.50%
Graylog2/gelfclient,728,200,114,9,31,1,219,9,12074,1311,55.50%,15.30%,8.70%,0.70%,2.40%,0.10%,16.70%,0.70%
square/javawriter,0,0,0,0,0,0,51549,0,0,51549,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
microsoft/Git-Credential-Manager-for-Mac-and-Linux,901,270,302,12,130,2,873,4,10606,2494,36.10%,10.80%,12.10%,0.50%,5.20%,0.10%,35.00%,0.20%
apache/dubbo-rpc-jsonrpc,309,56,52,20,39,1,180,2,43355,659,46.90%,8.50%,7.90%,3.00%,5.90%,0.20%,27.30%,0.30%
mariofusco/lambdaj,218,1786,498,2,2,0,216,39,4994,2761,7.90%,64.70%,18.00%,0.10%,0.10%,0.00%,7.80%,1.40%
kevinsawicki/http-request,431,113,299,64,11522,3,11698,9,49702,24139,1.80%,0.50%,1.20%,0.30%,47.70%,0.00%,48.50%,0.00%
opencharles/charles-rest,590,146,215,12,13,1,589,4,18775,1570,37.60%,9.30%,13.70%,0.80%,0.80%,0.10%,37.50%,0.30%
proofpoint/event-collector,1023,1059,3974,142,76,2,768,441,183917,7485,13.70%,14.10%,53.10%,1.90%,1.00%,0.00%,10.30%,5.90%
webjars/webjars-locator,287,196,3329,24,91,0,155,121,53237,4203,6.80%,4.70%,79.20%,0.60%,2.20%,0.00%,3.70%,2.90%
amplafi/htmlcleaner,105,2423,34563,20,6,0,281,116,729493,37514,0.30%,6.50%,92.10%,0.10%,0.00%,0.00%,0.70%,0.30%
dsmiley/SOLR-2155,414,380,349,6,29,1,343,18,2691,1540,26.90%,24.70%,22.70%,0.40%,1.90%,0.10%,22.30%,1.20%
xedin/disruptor_thrift_server,208,1544,43392,3163,36772,3,885855,113,2064227,971050,0.00%,0.20%,4.50%,0.30%,3.80%,0.00%,91.20%,0.00%
zhangyingwei/cockroach,494,190,182,13,18,0,464,4,7278,1365,36.20%,13.90%,13.30%,1.00%,1.30%,0.00%,34.00%,0.30%
JavaMoney/jsr354-ri-bp,345,4910,14436,9,21,2,2782,206,113590,22711,1.50%,21.60%,63.60%,0.00%,0.10%,0.00%,12.20%,0.90%
ManfredTremmel/gwt-commons-lang3,87,650,132,12,47,0,11435,65,106925,12428,0.70%,5.20%,1.10%,0.10%,0.40%,0.00%,92.00%,0.50%
MagicTheGathering/mtg-sdk-java,577,7912,21108,571,51,0,4087,274,127217,34580,1.70%,22.90%,61.00%,1.70%,0.10%,0.00%,11.80%,0.80%
pagehelper/Mybatis-PageHelper,454,2508,22914,14,12,0,807,38,142901,26747,1.70%,9.40%,85.70%,0.10%,0.00%,0.00%,3.00%,0.10%
laforge49/JID,195,2363,1951,54,9840,0,129,39,28868,14571,1.30%,16.20%,13.40%,0.40%,67.50%,0.00%,0.90%,0.30%
alexnederlof/Jasper-report-maven-plugin,955,16468,141432,42,171,0,4896,310,1468516,164274,0.60%,10.00%,86.10%,0.00%,0.10%,0.00%,3.00%,0.20%
boundary/high-scale-lib,38,7240,3806,16286,13739,0,272392,38,1404461,313539,0.00%,2.30%,1.20%,5.20%,4.40%,0.00%,86.90%,0.00%
phylogeography/spread,151,1555,1330,3,1,0,821,5,6417,3866,3.90%,40.20%,34.40%,0.10%,0.00%,0.00%,21.20%,0.10%
,,,,,,,,,,Average,35.10%,9.30%,18.10%,1.30%,10.20%,0.10%,23.10%,2.80%
,,,,,,,,,,,,,,,,,,
HB,failures: 62,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,event_filtering,preprocessing,algorithm,reporting,project,other,blocking,sum,instrumentation,event_logging,event_filtering,preprocessing,algorithm,reporting,project,other
tguzik/m2u,466,10020,276,12,46,51,230,0,29000,11101,4.20%,90.30%,2.50%,0.10%,0.40%,0.50%,2.10%,0.00%
Cue/greplin-zookeeper-utils,577,16420,114,97,436,47,218,52,195542,17961,3.20%,91.40%,0.60%,0.50%,2.40%,0.30%,1.20%,0.30%
laforge49/JFile,354,12490,45,76,233,4,190,84,125251,13476,2.60%,92.70%,0.30%,0.60%,1.70%,0.00%,1.40%,0.60%
rbuck/java-retry,107,97,1,0,1,6,34,0,9840,246,43.50%,39.40%,0.40%,0.00%,0.40%,2.40%,13.80%,0.00%
mikebrock/jboss-websockets,114,7244,7,7,32,44,23,59,35739,7530,1.50%,96.20%,0.10%,0.10%,0.40%,0.60%,0.30%,0.80%
rpuch/xremoting,544,53310,107,119,888,59,6530,4,28867,61561,0.90%,86.60%,0.20%,0.20%,1.40%,0.10%,10.60%,0.00%
