RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
ccidral/tomighty,170,10,1,0,24,0,2,1,14,208,81.70%,4.80%,0.50%,0.00%,11.50%,0.00%,1.00%,0.50%
520github/fw-parallel-task,69,29,0,0,1963,0,7,1,49661,2069,3.30%,1.40%,0.00%,0.00%,94.90%,0.00%,0.30%,0.00%
matthewhorridge/binaryowl,715,371,13,0,1308824,0,142,4240,50497,1314305,0.10%,0.00%,0.00%,0.00%,99.60%,0.00%,0.00%,0.30%
blackdoor/blackdoor,72,370,0,0,92693,0,90316,0,49179,183451,0.00%,0.20%,0.00%,0.00%,50.50%,0.00%,49.20%,0.00%
gilbutITbook/006955,530,352,1,0,158813,0,62,363,1362724,160121,0.30%,0.20%,0.00%,0.00%,99.20%,0.00%,0.00%,0.20%
anomalizer/tungsten-fsm,194,811,6,0,154851,0,43,2,121907,155907,0.10%,0.50%,0.00%,0.00%,99.30%,0.00%,0.00%,0.00%
coolstuffsoftware/owncloud-spring-boot-starter,5561,919,3,0,92109,0,39,146,30,98777,5.60%,0.90%,0.00%,0.00%,93.20%,0.00%,0.00%,0.10%
brutusin/commons,95,248,4,0,10333,5,55,13,6035,10753,0.90%,2.30%,0.00%,0.00%,96.10%,0.00%,0.50%,0.10%
ihaolin/wechat,123,31,0,1,356,0,15,1,2303,527,23.30%,5.90%,0.00%,0.20%,67.60%,0.00%,2.80%,0.20%
rovats/java-utils,88,33,0,1,10021,1,3,2,7579,10149,0.90%,0.30%,0.00%,0.00%,98.70%,0.00%,0.00%,0.00%
ModeShape/modeshape-examples,198,3580,7,0,1078655,0,83,2,19,1082525,0.00%,0.30%,0.00%,0.00%,99.60%,0.00%,0.00%,0.00%
MountCloud/ffmpeg-operate,113,273,2,0,26644,0,19,0,55463,27051,0.40%,1.00%,0.00%,0.00%,98.50%,0.00%,0.10%,0.00%
kurbatov/firmata4j,322,56,1,0,33168,0,34,3,33793,33584,1.00%,0.20%,0.00%,0.00%,98.80%,0.00%,0.10%,0.00%
jiangxincode/SearchEngine,161,36,0,0,755,0,18,0,3340,970,16.60%,3.70%,0.00%,0.00%,77.80%,0.00%,1.90%,0.00%
spring-projects/spring-analytics,690,951,6,1,1286865,0,2,15,26,1288530,0.10%,0.10%,0.00%,0.00%,99.90%,0.00%,0.00%,0.00%
dubasdey/portable-ftp-server,368,132,1,0,206830,0,79,893,342053,208303,0.20%,0.10%,0.00%,0.00%,99.30%,0.00%,0.00%,0.40%
Skullabs/powerlib,146,54,1,0,991,0,1445,0,504,2637,5.50%,2.00%,0.00%,0.00%,37.60%,0.00%,54.80%,0.00%
javadelight/delight-fileupload,163,196,0,0,41485,0,12,1,46349,41857,0.40%,0.50%,0.00%,0.00%,99.10%,0.00%,0.00%,0.00%
tv2norge-collab/java-serf-client,104,97,1,0,4632,1,9,1,4717,4845,2.10%,2.00%,0.00%,0.00%,95.60%,0.00%,0.20%,0.00%
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,300,193,18,0,17737,0,72,103,16224,18423,1.60%,1.00%,0.10%,0.00%,96.30%,0.00%,0.40%,0.60%
eddi888/camel-tinkerforge,373,465,10,1,1215292,4,33,9,1215534,1216187,0.00%,0.00%,0.00%,0.00%,99.90%,0.00%,0.00%,0.00%
jclawson/hazeltask,311,103,3,0,56471,0,138,5,833191,57031,0.50%,0.20%,0.00%,0.00%,99.00%,0.00%,0.20%,0.00%
buddycloud/buddycloud-server-java,404,17957,823,0,292345,0,2831,8,277161,314368,0.10%,5.70%,0.30%,0.00%,93.00%,0.00%,0.90%,0.00%
laforge49/JActor,271,61,1,1,121865,1,27,10,469345,122237,0.20%,0.00%,0.00%,0.00%,99.70%,0.00%,0.00%,0.00%
,,,,,,,,,,Average,4.90%,1.60%,0.00%,0.00%,88.90%,0.00%,4.50%,0.10%
