RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
tv2norge-collab/java-serf-client,120,110,0,5,3,0,3,28,23,269,44.60%,40.90%,0.00%,1.90%,1.10%,0.00%,1.10%,10.40%
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,356,64,0,12,0,1,70,30,208,533,66.80%,12.00%,0.00%,2.30%,0.00%,0.20%,13.10%,5.60%
alexvictoor/netty-livereload,167,144,3,111,4,1,78,26,365,534,31.30%,27.00%,0.60%,20.80%,0.70%,0.20%,14.60%,4.90%
buddycloud/buddycloud-server-java,385,11547,8,193,103,0,60,65,14003,12361,3.10%,93.40%,0.10%,1.60%,0.80%,0.00%,0.50%,0.50%
undera/perfmon-agent,303,1516,3,1168,26,1,95,77,2872,3189,9.50%,47.50%,0.10%,36.60%,0.80%,0.00%,3.00%,2.40%
jclawson/jackson-dataformat-hocon,46,3,0,278,0,0,0,13,4051,340,13.50%,0.90%,0.00%,81.80%,0.00%,0.00%,0.00%,3.80%
cilogi/gaeshiro,1309,7264,11,3996,118,2,362,77,38261,13139,10.00%,55.30%,0.10%,30.40%,0.90%,0.00%,2.80%,0.60%
syphr42/prom,425,1998,9,9055,46,0,87,74,28064,11694,3.60%,17.10%,0.10%,77.40%,0.40%,0.00%,0.70%,0.60%
ashenwgt/awesome-bdd-with-cucumber,173,1079,4,2139,19,2,0,116,27947,3532,4.90%,30.50%,0.10%,60.60%,0.50%,0.10%,0.00%,3.30%
spotify/hadoop-openpgp-codec,424,97760,78,3180,345,1,112,218,7981,102118,0.40%,95.70%,0.10%,3.10%,0.30%,0.00%,0.10%,0.20%
offbynull/portmapper,160,4880,38,116,12,1,45,51,502,5303,3.00%,92.00%,0.70%,2.20%,0.20%,0.00%,0.80%,1.00%
Azure-Samples/cassandra-proxy,231,4241,6,2863,56,1,75,32,6756,7505,3.10%,56.50%,0.10%,38.10%,0.70%,0.00%,1.00%,0.40%
zman2013/scuttlebutt,459,5483,4,1019,27,1,115,59,1973,7167,6.40%,76.50%,0.10%,14.20%,0.40%,0.00%,1.60%,0.80%
sdorra/ldap-unit,118,4336,14,1913,60,0,41,15,8446,6497,1.80%,66.70%,0.20%,29.40%,0.90%,0.00%,0.60%,0.20%
j-easy/easy-flows,251,4014,7,3594,119,0,102,32,13484,8119,3.10%,49.40%,0.10%,44.30%,1.50%,0.00%,1.30%,0.40%
,,,,,,,,,,Average,27.90%,37.80%,0.20%,20.50%,0.90%,0.90%,5.10%,6.70%
,,,,,,,,,,,,,,,,,,
SYNCP,failures: 62,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,event_filtering,preprocessing,algorithm,reporting,project,other,blocking,sum,instrumentation,event_logging,event_filtering,preprocessing,algorithm,reporting,project,other
laforge49/JFile,332,214,2,0,369559,0,65,46,1030401,370218,0.10%,0.10%,0.00%,0.00%,99.80%,0.00%,0.00%,0.00%
rbuck/java-retry,91,39,1,0,242,2,40,29,5001,444,20.50%,8.80%,0.20%,0.00%,54.50%,0.50%,9.00%,6.50%
mikebrock/jboss-websockets,118,2,0,0,8874,0,0,20,7787,9014,1.30%,0.00%,0.00%,0.00%,98.40%,0.00%,0.00%,0.20%
PhantomThief/thrift-pool-client,151,10,3,0,51314,0,30,31,26284,51539,0.30%,0.00%,0.00%,0.00%,99.60%,0.00%,0.10%,0.10%
hackingwu/Java-Promise,68,6,0,0,440,0,5,25,1019,544,12.50%,1.10%,0.00%,0.00%,80.90%,0.00%,0.90%,4.60%
