RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
anomalizer/tungsten-fsm,194,806,6,0,153892,0,42,54,6982,154994,0.10%,0.50%,0.00%,0.00%,99.30%,0.00%,0.00%,0.00%
coolstuffsoftware/owncloud-spring-boot-starter,5508,919,3,0,92109,0,39,1829,1799,100407,5.50%,0.90%,0.00%,0.00%,91.70%,0.00%,0.00%,1.80%
brutusin/commons,93,85,2,0,10091,0,25,25,1606,10321,0.90%,0.80%,0.00%,0.00%,97.80%,0.00%,0.20%,0.20%
ihaolin/wechat,119,25,0,1,336,0,15,21,406,517,23.00%,4.80%,0.00%,0.20%,65.00%,0.00%,2.90%,4.10%
rovats/java-utils,87,24,0,0,8914,0,3,14,5808,9042,1.00%,0.30%,0.00%,0.00%,98.60%,0.00%,0.00%,0.20%
ModeShape/modeshape-examples,194,3580,7,0,1078655,0,83,29,36088,1082548,0.00%,0.30%,0.00%,0.00%,99.60%,0.00%,0.00%,0.00%
MountCloud/ffmpeg-operate,106,236,1,0,13978,0,14,19,16001,14354,0.70%,1.60%,0.00%,0.00%,97.40%,0.00%,0.10%,0.10%
kurbatov/firmata4j,274,34,1,0,24915,0,29,89,14954,25342,1.10%,0.10%,0.00%,0.00%,98.30%,0.00%,0.10%,0.40%
jiangxincode/SearchEngine,148,22,0,0,638,0,11,51,212,870,17.00%,2.50%,0.00%,0.00%,73.30%,0.00%,1.30%,5.90%
spring-projects/spring-analytics,684,951,6,1,1286865,0,2,285,23731,1288794,0.10%,0.10%,0.00%,0.00%,99.90%,0.00%,0.00%,0.00%
dubasdey/portable-ftp-server,362,123,1,0,126785,0,79,54,86775,127404,0.30%,0.10%,0.00%,0.00%,99.50%,0.00%,0.10%,0.00%
Skullabs/powerlib,145,54,1,0,987,0,46,33,564,1266,11.50%,4.30%,0.10%,0.00%,78.00%,0.00%,3.60%,2.60%
javadelight/delight-fileupload,160,195,0,0,41451,0,12,51,1639,41869,0.40%,0.50%,0.00%,0.00%,99.00%,0.00%,0.00%,0.10%
tv2norge-collab/java-serf-client,104,97,1,0,4629,1,9,30,74,4871,2.10%,2.00%,0.00%,0.00%,95.00%,0.00%,0.20%,0.60%
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,298,51,16,0,16399,0,72,32,1866,16868,1.80%,0.30%,0.10%,0.00%,97.20%,0.00%,0.40%,0.20%
eddi888/camel-tinkerforge,367,265,4,0,373159,1,12,165,878655,373973,0.10%,0.10%,0.00%,0.00%,99.80%,0.00%,0.00%,0.00%
jclawson/hazeltask,205,6,0,0,678,0,5,201,642417,1095,18.70%,0.50%,0.00%,0.00%,61.90%,0.00%,0.50%,18.40%
buddycloud/buddycloud-server-java,403,17957,823,0,15701,0,2831,242,3519356,37957,1.10%,47.30%,2.20%,0.00%,41.40%,0.00%,7.50%,0.60%
laforge49/JActor,264,23,1,1,107814,1,17,137,451504,108258,0.20%,0.00%,0.00%,0.00%,99.60%,0.00%,0.00%,0.10%
,,,,,,,,,,Average,5.00%,2.30%,0.10%,0.00%,89.60%,0.00%,0.90%,2.10%
