repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
NetsOSS/embedded-jetty,fhb,15.47,389590.67,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,goldilocks,14.03,381461.33,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,hb,15.19,383104.00,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,hbepoch,15.11,377130.67,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,lockset,14.10,387256.00,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,shb,7.23,380848.00,,,,0,,,,0,,,,0
NetsOSS/embedded-jetty,shbepoch,15.38,390648.00,,,,0,,,,0,,,,0
PhantomThief/thrift-pool-client,fhb,5.01,337428.00,13.72,0.52,639662.67,3,12.66,0.47,629578.67,2,14.31,0.68,643326.67,2
PhantomThief/thrift-pool-client,goldilocks,4.68,340896.00,10.95,0.55,701964.00,12,11.91,0.60,696577.33,12,10.95,0.73,669721.33,12
PhantomThief/thrift-pool-client,hb,4.87,310748.00,9.67,0.49,599713.33,7,11.42,0.62,631356.00,7,9.84,0.57,607957.33,7
PhantomThief/thrift-pool-client,hbepoch,4.95,316416.00,9.73,0.50,609313.33,3,10.71,0.54,611342.67,4,9.96,0.59,600090.67,4
PhantomThief/thrift-pool-client,lockset,4.70,321721.33,8.21,0.68,626504.00,12,8.97,0.53,630489.33,13,9.73,0.84,593676.00,13
PhantomThief/thrift-pool-client,shb,2.61,318400.00,17.49,0.79,613636.00,2,10.56,0.51,608129.33,3,9.93,0.56,603116.00,3
PhantomThief/thrift-pool-client,shbepoch,4.99,329674.67,13.57,0.48,617825.33,3,10.47,0.51,612761.33,3,9.25,0.39,644726.67,3
PhantomThief/thrift-pool-client,syncp,4.71,323837.33,313.37,0.93,15727385.33,0,275.48,0.32,15904204.00,0,270.88,0.37,16006148.00,0
PhantomThief/thrift-pool-client,wcp,4.80,333228.00,15.30,0.54,1338964.00,7,15.42,0.51,1234122.67,7,10.59,0.53,1331308.00,8
Skullabs/powerlib,fhb,9.23,273202.00,,,,0,,,,0,,,,0
Skullabs/powerlib,goldilocks,8.53,278048.00,,,,0,,,,0,,,,0
Skullabs/powerlib,hb,9.49,275826.00,,,,0,,,,0,,,,0
Skullabs/powerlib,hbepoch,9.38,278732.00,,,,0,,,,0,,,,0
Skullabs/powerlib,lockset,9.40,280456.00,,,,0,,,,0,,,,0
Skullabs/powerlib,shb,9.38,257472.00,,,,0,,,,0,,,,0
Skullabs/powerlib,shbepoch,7.71,266734.67,,,,0,,,,0,,,,0
Skullabs/powerlib,syncp,5.81,285148.00,,,,0,,,,0,,,,0
Skullabs/powerlib,wcp,7.38,273770.00,,,,0,,,,0,,,,0
VaughnVernon/mockroservices-java,fhb,4.59,252290.67,13.73,0.64,718337.33,5,19.46,0.83,713946.67,5,16.94,0.99,675490.67,5
VaughnVernon/mockroservices-java,goldilocks,5.37,263688.00,38.24,2.73,434954.67,10,18.28,1.53,689529.33,10,20.33,0.88,693870.67,10
VaughnVernon/mockroservices-java,hb,5.03,269376.00,23.93,1.56,686814.67,8,17.81,1.27,688716.00,8,23.40,1.87,690268.00,8
VaughnVernon/mockroservices-java,hbepoch,5.24,257822.67,19.41,0.62,674949.33,8,17.88,1.38,689028.00,8,12.68,0.64,701094.67,8
